Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
13.833333,2.481472,60.724821,60.775502,2.945206,45.127520,2.945206,45.127520
14.000000,2.127215,62.576682,62.612828,2.403441,47.145278,2.403441,47.145278
14.166667,1.990030,64.137021,64.167887,2.187054,48.721869,2.187054,48.721869
14.333333,1.935916,65.541407,65.569992,2.095026,50.060497,2.095026,50.060497
14.500000,1.919678,66.855799,66.883354,2.059553,51.259945,2.059553,51.259945
14.666667,1.923033,68.114947,68.142087,2.053203,52.372182,2.053203,52.372182
14.833333,1.937567,69.338671,69.365737,2.063343,53.426780,2.063343,53.426780
15.000000,1.959015,70.539055,70.566253,2.083568,54.441713,2.083568,54.441713
15.166667,1.985054,71.723893,71.751357,2.110384,55.428509,2.110384,55.428509
15.333333,2.014345,72.898445,72.926270,2.141770,56.394907,2.141770,56.394907
15.500000,2.046080,74.066410,74.094666,2.176506,57.346296,2.176506,57.346296
15.666667,2.079757,75.230481,75.259223,2.213826,58.286556,2.213826,58.286556
15.833333,2.115053,76.392678,76.421952,2.253237,59.218559,2.253237,59.218559
16.000000,2.151760,77.554560,77.584405,2.294413,60.144482,2.294413,60.144482
16.166667,2.189743,78.717361,78.747812,2.337138,61.066016,2.337138,61.066016
16.333333,2.221218,79.882131,79.913007,2.369725,61.984573,2.369725,61.984573
16.500000,2.269212,81.049549,81.081309,2.426701,62.901007,2.426701,62.901007
16.666667,2.310610,82.220465,82.252925,2.473378,63.816424,2.473378,63.816424
16.833333,2.345167,83.395492,83.428460,2.509377,64.731581,2.509377,64.731581
17.000000,2.396643,84.574975,84.608926,2.570319,65.646819,2.570319,65.646819
17.166667,2.441277,85.759568,85.794309,2.620549,66.562950,2.620549,66.562950
17.333333,2.487003,86.949637,86.985197,2.671950,67.480345,2.671950,67.480345
17.500000,2.533835,88.145569,88.181980,2.724527,68.399410,2.724527,68.399410
17.666667,2.581796,89.347727,89.385021,2.778295,69.320507,2.778295,69.320507
17.833333,2.630909,90.556451,90.594660,2.833271,70.243963,2.833271,70.243963
18.000000,2.681217,91.772051,91.811210,2.889491,71.170065,2.889491,71.170065
18.166667,2.732725,92.994856,93.034999,2.946954,72.099099,2.946954,72.099099
18.333333,2.785477,94.225151,94.266315,3.005702,73.031308,3.005702,73.031308
