Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
10.166667,32.699002,94.752897,100.236402,37.589613,84.456854,37.589613,84.456854,92.444249,92.444249,117.607731
10.333333,36.021081,96.038410,102.571412,41.926329,85.118514,41.926329,85.118514,94.884027,94.884027,120.346746
10.500000,39.591434,96.772648,104.558248,46.601520,84.985725,46.601520,84.985725,96.924069,96.924069,123.041068
10.666667,43.296610,96.807387,106.048416,51.446310,83.841753,51.446310,83.841753,98.367486,98.367486,125.680440
10.833333,46.943365,96.013446,106.874980,56.173177,81.498921,56.173177,81.498921,98.982321,98.982321,128.253238
11.000000,50.255012,94.327569,106.879636,60.370708,77.868780,60.370708,77.868780,98.530043,98.530043,130.746588
11.166667,52.899899,91.808427,105.958419,63.546526,73.045910,63.546526,73.045910,96.818727,96.818727,133.146597
11.333333,54.561893,88.675374,104.116868,65.233223,67.365729,65.233223,67.365729,93.773743,93.773743,135.438737
11.500000,55.036873,85.294952,101.510030,65.133235,61.383875,65.133235,61.383875,89.500382,89.500382,137.608392
11.666667,54.308572,82.100620,98.437456,63.232668,55.755298,63.232668,55.755298,84.303165,84.303165,139.641607
11.833333,52.555866,79.476697,95.282026,59.812145,51.059635,59.812145,51.059635,78.642094,78.642094,141.526024
12.000000,50.085504,77.667122,92.416122,55.345645,47.663763,55.345645,47.663763,73.040911,73.040911,143.251982
12.166667,47.232782,76.750077,90.119421,50.351075,45.683188,50.351075,45.683188,67.986649,67.986649,144.813721
12.333333,44.282055,76.672318,88.541204,45.270385,45.033097,45.270385,45.033097,63.854425,63.854425,146.210585
12.500000,41.430972,77.308229,87.710249,40.415095,45.516664,40.415095,45.516664,60.869916,60.869916,147.448081
12.666667,38.791826,78.512469,87.572905,35.967388,46.904025,35.967388,46.904025,59.107026,59.107026,148.538640
12.833333,36.411697,80.153351,88.036193,32.009353,48.982628,32.009353,48.982628,58.514071,58.514071,149.501913
13.000000,34.296334,82.128149,89.001525,28.557951,51.580821,28.557951,51.580821,58.958779,58.958779,150.364489
13.166667,32.430396,84.366781,90.385200,25.594726,54.574251,25.594726,54.574251,60.278013,60.278013,151.158976
13.333333,30.792367,86.830064,92.128334,23.087840,57.884316,23.087840,57.884316,62.318877,62.318877,151.922489
13.500000,29.365586,89.506876,94.200947,21.008626,61.475024,21.008626,61.475024,64.965690,64.965690,152.694690
13.666667,28.148595,92.413014,96.604910,19.347492,65.352324,19.347492,65.352324,68.156083,68.156083,153.515592
13.833333,27.171050,95.593610,99.380100,18.138429,69.568563,18.138429,69.568563,71.894280,71.894280,154.423390
14.000000,26.530772,99.128660,102.617606,17.515442,74.231352,17.515442,74.231352,76.269813,76.269813,155.452551
14.166667,26.500796,103.121440,106.472172,17.874031,79.486450,17.874031,79.486450,81.471325,81.471325,156.632369
14.333333,27.844763,107.474034,111.022515,20.345166,85.181031,20.345166,85.181031,87.577017,87.577017,157.986079
14.500000,31.812401,110.133462,114.635981,26.789275,88.232569,26.789275,88.232569,92.209823,92.209823,159.530549
14.666667,32.894113,107.625297,112.539892,28.928508,83.428885,28.928508,83.428885,88.301967,88.301967,161.276476
14.833333,29.288063,109.993104,113.825628,24.048072,85.837191,24.048072,85.837191,89.142208,89.142208,163.228989
15.000000,29.508399,115.776771,119.478058,24.908953,93.270418,24.908953,93.270418,96.539250,96.539250,165.388493
15.166667,34.009654,120.423960,125.134275,32.184123,98.904131,32.184123,98.904131,104.008870,104.008870,167.751641
15.333333,40.760690,119.893314,126.632699,42.819572,96.681000,42.819572,96.681000,105.738978,105.738978,170.312320
15.500000,43.002433,114.008393,121.848771,46.670726,86.341477,46.670726,86.341477,98.147885,98.147885,173.062554
15.666667,39.073576,110.038619,116.770039,41.241188,78.794999,41.241188,78.794999,88.935300,88.935300,175.993296
15.833333,34.021045,110.315741,115.442601,34.098204,77.544108,34.098204,77.544108,84.709953,84.709953,179.095070
16.000000,30.123709,112.875196,116.825715,28.657796,79.646438,28.657796,79.646438,84.645286,84.645286,182.358472
16.166667,27.419950,116.315723,119.503980,24.975998,83.004169,24.975998,83.004169,86.680405,86.680405,185.774534
16.333333,25.549645,120.070870,122.759107,22.511697,86.771231,22.511697,86.771231,89.643868,89.643868,189.334977
16.500000,24.334364,123.984927,126.350399,20.996813,90.717171,20.996813,90.717171,93.115366,93.115366,193.032368
16.666667,23.557114,127.989601,130.139447,20.105779,94.742168,20.105779,94.742168,96.852056,96.852056,196.860200
16.833333,23.164163,132.108037,134.123495,19.758179,98.883073,19.758179,98.883073,100.837730,100.837730,200.812929
17.000000,23.282020,136.372532,138.345653,20.144135,103.190013,20.144135,103.190013,105.137838,105.137838,204.885960
17.166667,23.993919,140.791722,142.821627,21.388962,107.677199,21.388962,107.677199,109.780995,109.780995,209.075618
17.333333,25.712496,145.205330,147.464301,24.112136,112.105074,24.112136,112.105074,114.668839,114.668839,213.379099
17.500000,28.980780,148.750282,151.547129,29.128729,115.179512,29.128729,115.179512,118.805736,118.805736,217.794411
17.666667,32.854709,149.145085,152.720949,35.023099,113.478390,35.023099,113.478390,118.760105,118.760105,222.320315
17.833333,32.601003,147.240046,150.806023,34.695634,108.277101,34.695634,108.277101,113.700121,113.700121,226.956267
18.000000,29.411065,149.067632,151.941336,29.933729,108.624270,29.933729,108.624270,112.673246,112.673246,231.702087
18.166667,28.179889,153.841178,156.400813,28.080471,113.338959,28.080471,113.338959,116.765716,116.765716,236.558962
18.333333,29.721961,158.721627,161.480493,30.357666,118.161791,30.357666,118.161791,121.999167,121.999167,241.527858
18.500000,33.263880,161.410111,164.802032,35.605234,119.643354,35.605234,119.643354,124.828943,124.828943,246.610478
18.666667,35.729689,160.629827,164.555620,39.209064,115.867178,39.209064,115.867178,122.321518,122.321518,251.808978
18.833333,34.407639,159.442744,163.113072,37.101265,111.424906,37.101265,111.424906,117.439403,117.439403,257.125939
19.000000,31.403374,160.779873,163.818007,32.440026,110.711543,32.440026,110.711543,115.366378,115.366378,262.564337
19.166667,28.912357,164.002189,166.531206,28.518103,112.766810,28.518103,112.766810,116.316962,116.316962,268.127516
19.333333,27.300902,167.998311,170.202150,25.884154,115.921730,25.884154,115.921730,118.776415,118.776415,273.819224
19.500000,26.361765,172.240008,174.245697,24.226860,119.381962,24.226860,119.381962,121.815408,121.815408,279.643388
19.666667,25.879458,176.540341,178.427124,23.221859,122.864968,23.221859,122.864968,125.040214,125.040214,285.604405
19.833333,25.710018,180.844073,182.662486,22.652084,126.285645,22.652084,126.285645,128.301134,128.301134,291.706926
20.000000,25.764498,185.142218,186.926323,22.383135,129.627930,22.383135,129.627930,131.546208,131.546208,297.956287
20.166667,25.989623,189.440654,191.215119,22.333034,132.898619,22.333034,132.898619,134.762040,134.762040,304.356961
20.333333,26.351682,193.749631,195.533451,22.449818,136.110310,22.449818,136.110310,137.949305,137.949305,310.914824
20.500000,26.829942,198.079634,199.888437,22.700518,139.276070,22.700518,139.276070,141.113916,141.113916,317.635652
20.666667,27.411593,202.440258,204.287673,23.063837,142.407542,23.063837,142.407542,144.263123,144.263123,324.525480
20.833333,28.088978,206.839918,208.738454,23.525990,145.514521,23.525990,145.514521,147.404030,147.404030,331.590591
21.000000,28.857941,211.285879,213.247517,24.078210,148.605006,24.078210,148.605006,150.543044,150.543044,338.837507
21.166667,29.716786,215.784374,217.820990,24.715179,151.685385,24.715179,151.685385,153.685705,153.685705,346.272976
21.333333,30.665295,220.340686,222.464330,25.433724,154.760450,25.433724,154.760450,156.836448,156.836448,353.904154
21.500000,31.705614,224.959401,227.182697,26.233431,157.834257,26.233431,157.834257,159.999517,159.999517,361.737842
21.666667,32.840054,229.644230,231.980476,27.114364,160.909204,27.114364,160.909204,163.177697,163.177697,369.781531
21.833333,34.072134,234.398218,236.861637,28.077958,163.986796,28.077958,163.986796,166.373198,166.373198,378.042698
22.000000,35.406146,239.223708,241.829646,29.126510,167.067502,29.126510,167.067502,169.587452,169.587452,386.528941
22.166667,36.847033,244.122326,246.887452,30.263004,170.150760,30.263004,170.150760,172.821094,172.821094,395.247945
22.333333,38.400294,249.094943,252.037444,31.490966,173.234950,31.490966,173.234950,176.073930,176.073930,404.207443
22.500000,40.071900,254.141625,257.281407,32.814331,176.317339,32.814331,176.317339,179.344876,179.344876,413.415176
22.666667,41.868183,259.261556,262.620447,34.237302,179.394010,34.237302,179.394010,182.631880,182.631880,422.878838
22.833333,43.795737,264.452960,268.054910,35.764203,182.459765,35.764203,182.459765,185.931826,185.931826,432.606032
23.000000,45.861274,269.713008,273.584289,37.399295,185.508029,37.399295,185.508029,189.240419,189.240419,442.604208
23.166667,48.071462,275.037725,279.207120,39.146568,188.530739,39.146568,188.530739,192.552054,192.552054,452.880606
23.333333,50.432722,280.421903,284.920872,41.009484,191.518247,41.009484,191.518247,195.859686,195.859686,463.442203
23.500000,52.950980,285.859024,290.721839,42.990663,194.459231,42.990663,194.459231,199.154688,199.154688,474.295653
23.666667,55.631372,291.341220,296.605050,45.091515,197.340655,45.091515,197.340655,202.426724,202.426724,485.447248
23.833333,58.477893,296.859271,302.564193,47.311807,200.147768,47.311807,200.147768,205.663648,205.663648,496.902887
24.000000,61.492993,302.402673,308.591582,49.649167,202.864201,49.649167,202.864201,208.851439,208.851439,508.668066
24.166667,64.677135,307.959790,314.678191,52.098537,205.472159,52.098537,205.472159,211.974210,211.974210,520.747902
24.333333,68.028302,313.518129,320.813758,54.651587,207.952772,54.651587,207.952772,215.014305,215.014305,533.147198
24.500000,71.541525,319.064749,326.987009,57.296137,210.286614,57.296137,210.286614,217.952534,217.952534,545.870566
24.666667,75.208411,324.586843,333.186020,60.015617,212.454428,60.015617,212.454428,220.768563,220.768563,558.922611
24.833333,79.016765,330.072493,339.398733,62.788653,214.438073,62.788653,214.438073,223.441496,223.441496,572.308207
25.000000,82.950350,335.511611,345.613659,65.588844,216.221682,65.588844,216.221682,225.950686,225.950686,586.032869
25.166667,86.988846,340.897040,351.820766,68.384823,217.793004,68.384823,217.793004,228.276755,228.276755,600.103229
25.333333,91.108098,346.225768,358.012525,71.140700,219.144849,71.140700,219.144849,230.402830,230.402830,614.527648
25.500000,95.280699,351.500175,364.185097,73.816961,220.276522,73.816961,220.276522,232.315927,232.315927,629.316947
25.666667,99.476930,356.729213,370.339562,76.371825,221.195098,76.371825,221.195098,234.008391,234.008391,644.485272
25.833333,103.666088,361.929381,376.483113,78.763090,221.916351,78.763090,221.916351,235.479280,235.479280,660.051086
26.000000,107.818097,367.125384,382.630095,80.950294,222.465168,80.950294,222.465168,236.735508,236.735508,676.038271
26.166667,111.905326,372.350351,388.802760,82.897086,222.875294,82.897086,222.875294,237.792606,237.792606,692.477311
26.333333,115.904457,377.645561,395.031660,84.573517,223.188365,84.573517,223.188365,238.674938,238.674938,709.406548
26.500000,119.798198,383.059677,401.355609,85.958028,223.452217,85.958028,223.452217,239.415279,239.415279,726.873450
26.666667,123.576716,388.647565,407.821204,87.038856,223.718643,87.038856,223.718643,240.053731,240.053731,744.935874
26.833333,127.238624,394.468830,414.481996,87.814710,224.040805,87.814710,224.040805,240.636043,240.636043,763.663288
27.000000,130.791475,400.586267,421.397399,88.294635,224.470577,88.294635,224.470577,241.211489,241.211489,783.137934
27.166667,134.251787,407.064403,428.631509,88.497102,225.056126,88.497102,225.056126,241.830513,241.830513,803.455910
27.333333,137.644659,413.968302,436.251999,88.448479,225.839936,88.448479,225.839936,242.542388,242.542388,824.728213
27.500000,141.003136,421.362752,444.329217,88.181095,226.857450,88.181095,226.857450,243.393114,243.393114,847.081747
27.666667,144.367461,429.311906,452.935621,87.731138,228.136378,87.731138,228.136378,244.423730,244.423730,870.660377
27.833333,147.784389,437.879356,462.145601,87.136612,229.696630,87.136612,229.696630,245.669149,245.669149,895.626120
28.000000,151.306690,447.128634,472.035729,86.435532,231.550765,86.435532,231.550765,247.157557,247.157557,922.160557
28.166667,154.992942,457.124054,482.685418,85.664451,233.704828,85.664451,233.704828,248.910315,248.910315,950.466625
28.333333,158.907697,467.931856,494.177982,84.857383,236.159403,84.857383,236.159403,250.942302,250.942302,980.770928
28.500000,163.122101,479.621562,506.602075,84.045120,238.910761,84.045120,238.910761,253.262579,253.262579,1013.326739
28.666667,167.714979,492.267542,520.053504,83.254868,241.951991,83.254868,241.951991,255.875241,255.875241,1048.417891
28.833333,172.774484,505.950736,534.637418,82.510176,245.274035,82.510176,245.274035,258.780373,258.780373,1086.363793
29.000000,178.400397,520.760548,550.470934,81.831084,248.866584,81.831084,248.866584,261.975004,261.975004,1127.525827
29.166667,184.707185,536.796930,567.686259,81.234381,252.718820,81.234381,252.718820,265.454001,265.454001,1172.315469
29.333333,191.828025,554.172658,586.434418,80.733989,256.820000,80.733989,256.820000,269.210864,269.210864,1221.204553
29.500000,199.920072,573.015848,606.889773,80.341371,261.159892,80.341371,261.159892,273.238404,273.238404,1274.738198
29.666667,209.171352,593.472699,629.255512,80.065947,265.729093,80.065947,265.729093,277.529290,277.529290,1333.551123
29.833333,219.809847,615.710470,653.770412,79.915504,270.519230,79.915504,270.519230,282.076482,282.076482,1398.388257
30.000000,232.115582,639.920568,680.717252,79.896600,275.523088,79.896600,275.523088,286.873559,286.873559,1470.130867
