Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
13.833333,2.927627,143.484820,143.514684,3.495648,111.595224,3.495648,111.595224
14.000000,3.051572,146.134648,146.166506,3.664096,113.637362,3.664096,113.637362
14.166667,3.196334,148.839333,148.873650,3.863185,115.736111,3.863185,115.736111
14.333333,3.370975,151.609001,151.646472,4.106486,117.905739,4.106486,117.905739
14.500000,3.590829,154.457873,154.499607,4.416978,120.166637,4.416978,120.166637
14.666667,3.883694,157.406337,157.454241,4.836335,122.548420,4.836335,122.548420
14.833333,4.304450,160.483185,160.540901,5.446857,125.093278,5.446857,125.093278
15.000000,4.973231,163.722303,163.797819,6.428727,127.851019,6.428727,127.851019
15.166667,6.182831,167.111742,167.226080,8.221129,130.802659,8.221129,130.802659
15.333333,8.635636,170.192531,170.411478,11.877668,133.258602,11.877668,133.258602
15.500000,12.264322,170.193956,170.635273,17.297264,131.061412,17.297264,131.061412
15.666667,10.245351,167.836442,168.148858,14.244062,125.290792,14.244062,125.290792
15.833333,6.765692,171.036973,171.170735,8.998965,127.821442,8.998965,127.821442
16.000000,5.884609,175.632632,175.731187,7.650978,132.407414,7.650978,132.407414
16.166667,6.559057,180.095122,180.214523,8.635423,136.754899,8.635423,136.754899
16.333333,8.896368,183.865180,184.080281,12.113277,140.023610,12.113277,140.023610
16.500000,12.199730,184.143672,184.547353,17.039160,138.013238,17.039160,138.013238
16.666667,10.432628,182.566614,182.864453,14.357857,133.176634,14.357857,133.176634
16.833333,7.156970,185.182637,185.320888,9.412561,134.585518,9.412561,134.585518
17.000000,5.613411,189.188777,189.272037,7.064300,138.033656,7.064300,138.033656
17.166667,4.938497,193.151947,193.215070,6.017765,141.369736,6.017765,141.369736
17.333333,4.642278,196.966961,197.021660,5.537944,144.434285,5.537944,144.434285
17.500000,4.520916,200.677914,200.728832,5.319000,147.291679,5.319000,147.291679
17.666667,4.489672,204.331459,204.380778,5.233744,150.010058,5.233744,150.010058
17.833333,4.509659,207.960782,208.009673,5.223767,152.637284,5.223767,152.637284
18.000000,4.561375,211.588573,211.637734,5.259719,155.205395,5.259719,155.205395
18.166667,4.634255,215.230743,215.280629,5.325681,157.736137,5.325681,157.736137
18.333333,4.722282,218.898850,218.949781,5.412523,160.244665,5.412523,160.244665
18.500000,4.821854,222.601694,222.653912,5.514741,162.741884,5.514741,162.741884
18.666667,4.930748,226.346268,226.399967,5.628888,165.235882,5.628888,165.235882
18.833333,5.047563,230.138364,230.193711,5.752749,167.732830,5.752749,167.732830
19.000000,5.171415,233.982971,234.040113,5.884872,170.237571,5.884872,170.237571
19.166667,5.301751,237.884534,237.943607,6.024295,172.754003,6.024295,172.754003
19.333333,5.438284,241.847091,241.908228,6.170416,175.285324,6.170416,175.285324
19.500000,5.580767,245.874571,245.937898,6.322759,177.834287,6.322759,177.834287
19.666667,5.729170,249.970634,250.036280,6.481095,180.403215,6.481095,180.403215
19.833333,5.883516,254.138908,254.207003,6.645281,182.994170,6.645281,182.994170
20.000000,6.043858,258.382990,258.453667,6.815232,185.608987,6.815232,185.608987
20.166667,6.210398,262.706508,262.779905,6.990996,188.249383,6.990996,188.249383
20.333333,6.383287,267.113137,267.189398,7.172606,190.916910,7.172606,190.916910
20.500000,6.562745,271.606634,271.685910,7.360153,193.613042,7.360153,193.613042
20.666667,6.749027,276.190869,276.273316,7.553763,196.339182,7.553763,196.339182
20.833333,6.942419,280.869839,280.955626,7.753589,199.096683,7.753589,199.096683
21.000000,7.143240,285.647699,285.737002,7.959813,201.886858,7.959813,201.886858
21.166667,7.351840,290.528778,290.621782,8.172634,204.710997,8.172634,204.710997
21.333333,7.568494,295.517610,295.614513,8.392197,207.570346,8.392197,207.570346
21.500000,7.793815,300.618911,300.719925,8.618892,210.466226,8.618892,210.466226
21.666667,8.028160,305.837676,305.943026,8.852911,213.399883,8.852911,213.399883
21.833333,8.272013,311.179146,311.289073,9.094535,216.372591,9.094535,216.372591
22.000000,8.525900,316.648851,316.763612,9.344063,219.385638,9.344063,219.385638
22.166667,8.790390,322.252630,322.372499,9.601817,222.440329,9.601817,222.440329
22.333333,9.066094,327.996660,328.121933,9.868137,225.537987,9.868137,225.537987
22.500000,9.353679,333.887487,334.018481,10.143385,228.679962,10.143385,228.679962
22.666667,9.653860,339.932059,340.069114,10.427945,231.867631,10.427945,231.867631
22.833333,9.967415,346.137759,346.281241,10.722224,235.102405,10.722224,235.102405
23.000000,10.295187,352.512443,352.662747,11.026654,238.385726,11.026654,238.385726
23.166667,10.638091,359.064484,359.222038,11.341691,241.719078,11.341691,241.719078
23.333333,10.997122,365.802820,365.968086,11.667821,245.103983,11.667821,245.103983
23.500000,11.373361,372.737001,372.910479,12.005558,248.542009,12.005558,248.542009
23.666667,11.767990,379.877250,380.059483,12.355447,252.034771,12.355447,252.034771
23.833333,12.182296,387.234527,387.426105,12.718065,255.583931,12.718065,255.583931
24.000000,12.617690,394.820593,395.022160,13.094028,259.191208,13.094028,259.191208
24.166667,13.075717,402.648099,402.860355,13.483986,262.858374,13.483986,262.858374
24.333333,13.558073,410.730665,410.954377,13.888630,266.587263,13.888630,266.587263
24.500000,14.066625,419.082984,419.318993,14.308698,270.379767,14.308698,270.379767
24.666667,14.603432,427.720933,427.970159,14.744971,274.237847,14.744971,274.237847
24.833333,15.170766,436.661697,436.925153,15.198281,278.163530,15.198281,278.163530
25.000000,15.771148,445.923909,446.202714,15.669515,282.158916,15.669515,282.158916
25.166667,16.407375,455.527818,455.823205,16.159617,286.226181,16.159617,286.226181
25.333333,17.082558,465.495462,465.808801,16.669593,290.367579,16.669593,290.367579
25.500000,17.800174,475.850885,476.183694,17.200518,294.585445,17.200518,294.585445
25.666667,18.564110,486.620370,486.974343,17.753541,298.882203,17.753541,298.882203
25.833333,19.378730,497.832715,498.209742,18.329881,303.260363,18.329881,303.260363
26.000000,20.248949,509.519547,509.921748,18.930852,307.722532,18.930852,307.722532
26.166667,21.180319,521.715685,522.145442,19.557857,312.271413,19.557857,312.271413
26.333333,22.179130,534.459564,534.919563,20.212391,316.909810,20.212391,316.909810
26.500000,23.252538,547.793720,548.287005,20.896064,321.640632,20.896064,321.640632
26.666667,24.408713,561.765368,562.295398,21.610597,326.466899,21.610597,326.466899
26.833333,25.657022,576.427073,576.997793,22.357841,331.391743,22.357841,331.391743
27.000000,27.008244,591.837540,592.453474,23.139779,336.418413,23.139779,336.418413
27.166667,28.474845,608.062549,608.728906,23.958544,341.550279,23.958544,341.550279
27.333333,30.071305,625.176078,625.898883,24.816426,346.790835,24.816426,346.790835
27.500000,31.814532,643.261624,644.047888,25.715895,352.143703,25.715895,352.143703
27.666667,33.724369,662.413815,663.271735,26.659606,357.612633,26.659606,357.612633
27.833333,35.824235,682.740337,683.679562,27.650417,363.201513,27.650417,363.201513
28.000000,38.141946,704.364298,705.396252,28.691414,368.914360,28.691414,368.914360
28.166667,40.710743,727.427105,728.565411,29.785925,374.755331,29.785925,374.755331
28.333333,43.570626,752.092020,753.353042,30.937539,380.728717,30.937539,380.728717
28.500000,46.770090,778.548575,779.952130,32.150135,386.838945,32.150135,386.838945
28.666667,50.368394,807.018091,808.588384,33.427901,393.090573,33.427901,393.090573
28.833333,54.438568,837.760656,839.527531,34.775365,399.488290,34.775365,399.488290
29.000000,59.071462,871.083995,873.084626,36.197429,406.036904,36.197429,406.036904
29.166667,64.381223,907.354888,909.636100,37.699389,412.741341,37.699389,412.741341
29.333333,70.512842,947.013994,949.635491,39.286975,419.606625,39.286975,419.606625
29.500000,77.652715,990.595329,993.634264,40.966396,426.637867,40.966396,426.637867
29.666667,86.043603,1038.752157,1042.309717,42.744362,433.840247,42.744362,433.840247
29.833333,96.006289,1092.291852,1096.502940,44.628142,441.218983,44.628142,441.218983
30.000000,107.971468,1152.223495,1157.271282,46.625597,448.779306,46.625597,448.779306
30.166667,122.527797,1219.823812,1225.962150,48.745233,456.526422,48.745233,456.526422
30.333333,140.496018,1296.729965,1304.318877,50.996238,464.465462,50.996238,464.465462
