Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
10.333333,16.694572,181.444892,182.211299,16.778715,144.167730,16.778715,144.167730,145.140827,145.140827,256.537468
10.500000,18.099971,185.691898,186.571944,18.407261,147.387305,18.407261,147.387305,148.532303,148.532303,262.888592
10.666667,19.657676,189.919499,190.934126,20.236925,150.533306,20.236925,150.533306,151.887489,151.887489,269.333290
10.833333,21.377963,194.095714,195.269464,22.283106,153.558391,22.283106,153.558391,155.166737,155.166737,275.870531
11.000000,23.265423,198.179001,199.539962,24.553162,156.401041,24.553162,156.401041,158.316592,158.316592,282.498893
11.166667,25.314380,202.117478,203.696570,27.039646,158.984321,27.039646,158.984321,161.267346,161.267346,289.216657
11.333333,27.502554,205.849838,207.678950,29.710904,161.217168,29.710904,161.217168,163.932038,163.932038,296.021971
11.500000,29.783296,209.309507,211.417866,32.499539,163.000479,32.499539,163.000479,166.208833,166.208833,302.913076
11.666667,32.077901,212.433880,214.842140,35.290967,164.240818,35.290967,164.240818,167.989579,167.989579,309.888611
11.833333,34.271365,215.179947,217.892028,37.917107,164.873619,37.917107,164.873619,169.177472,169.177472,316.948001
12.000000,36.216721,217.545142,220.539202,40.162905,164.894235,40.162905,164.894235,169.714960,169.714960,324.091928
12.166667,37.752937,219.587840,222.809568,41.793145,164.388390,41.793145,164.388390,169.617834,169.617834,331.322867
12.333333,38.736795,221.437194,224.799845,42.600142,163.546667,42.600142,163.546667,169.003800,169.003800,338.645663
12.500000,39.080204,223.282088,226.676318,42.459524,162.647647,42.459524,162.647647,168.098389,168.098389,346.068110
12.666667,38.776755,225.337482,228.649552,41.369789,162.007207,41.369789,162.007207,167.205845,167.205845,353.601485
12.833333,37.903318,227.800116,230.931926,39.454346,161.911888,39.454346,161.911888,166.649647,166.649647,361.260970
13.000000,36.595608,230.813097,233.696222,36.924459,162.565711,36.924459,162.565711,166.706406,166.706406,369.065921
13.166667,35.010902,234.453274,237.052950,34.022910,164.071278,34.022910,164.071278,167.561758,167.561758,377.039912
13.333333,33.295233,238.741712,241.052230,30.974377,166.445631,30.974377,166.445631,169.303160,169.303160,385.210555
13.500000,31.565765,243.667779,245.703854,27.958663,169.656660,27.958663,169.656660,171.944960,171.944960,393.609081
13.666667,29.910529,249.216705,251.005191,25.110048,173.664786,25.110048,173.664786,175.470717,175.470717,402.269714
13.833333,28.405205,255.395255,256.970021,22.542347,178.461869,22.542347,178.461869,179.879949,179.879949,411.228920
14.000000,27.155104,262.252436,263.654584,20.411885,184.102680,20.411885,184.102680,185.230780,185.230780,420.524592
14.166667,26.395892,269.869759,271.157574,19.068735,190.690642,19.068735,190.690642,191.641691,191.641691,430.195281
14.333333,26.684904,278.147567,279.424682,19.343920,198.057556,19.343920,198.057556,198.999957,198.999957,440.279532
14.500000,28.558817,285.958771,287.381323,22.036014,204.494331,22.036014,204.494331,205.678189,205.678189,450.815416
14.666667,30.175483,292.069134,293.623805,24.374198,208.132189,24.374198,208.132189,209.554550,209.554550,461.840273
14.833333,30.378214,299.050964,300.589945,24.616328,212.812444,24.616328,212.812444,214.231417,214.231417,473.390678
15.000000,31.973941,307.661820,309.318814,26.964714,219.653621,26.964714,219.653621,221.302528,221.302528,485.502627
15.166667,36.220115,314.969358,317.045097,33.296931,224.240001,33.296931,224.240001,226.698619,226.698619,498.211903
15.333333,39.865501,318.494839,320.980094,38.727838,222.836426,38.727838,222.836426,226.176741,226.176741,511.554582
15.500000,39.635707,321.323759,323.759089,38.338233,220.053527,38.338233,220.053527,223.368250,223.368250,525.567647
15.666667,37.377142,326.465019,328.597716,34.890451,220.385852,34.890451,220.385852,223.130606,223.130606,540.289677
15.833333,35.091786,333.649263,335.489589,31.380394,223.409339,31.380394,223.409339,225.602442,225.602442,555.761569
16.000000,33.314878,342.063233,343.681737,28.604188,227.882496,28.604188,227.882496,229.670702,229.670702,572.027303
16.166667,32.038815,351.252215,352.710369,26.543983,233.099663,26.543983,233.099663,234.606129,234.606129,589.134723
16.333333,31.118885,361.019016,362.357717,24.976446,238.739076,24.976446,238.739076,240.042015,240.042015,607.136348
16.500000,30.621906,371.309917,372.570471,23.995615,244.691390,23.995615,244.691390,245.865137,245.865137,626.090217
16.666667,30.362301,382.112574,383.316956,23.316873,250.906093,23.316873,250.906093,251.987191,251.987191,646.060794
16.833333,30.335340,393.463925,394.631592,22.926674,257.402897,22.926674,257.402897,258.421910,258.421910,667.119942
17.000000,30.773382,405.403448,406.569744,23.166747,264.201085,23.166747,264.201085,265.214840,265.214840,689.348008
17.166667,31.677951,417.921278,419.120135,24.032012,271.241092,24.032012,271.241092,272.303632,272.303632,712.835037
17.333333,33.339404,430.746592,432.034885,25.949869,278.066388,25.949869,278.066388,279.274617,279.274617,737.682171
17.500000,35.528884,443.186210,444.608050,28.567844,283.580710,28.567844,283.580710,285.016036,285.016036,764.003255
17.666667,37.033212,455.271564,456.775280,30.055969,287.767648,30.055969,287.767648,289.332992,289.332992,791.926736
17.833333,37.616365,468.402446,469.910462,30.048630,292.654659,30.048630,292.654659,294.193252,294.193252,821.597888
18.000000,38.303493,483.083127,484.599283,30.069613,298.916453,30.069613,298.916453,300.425078,300.425078,853.181131
18.166667,39.746084,498.935771,500.516388,31.080268,305.893070,31.080268,305.893070,307.467971,307.467971,886.864547
18.333333,42.176762,515.342157,517.065197,33.410522,312.551381,33.410522,312.551381,314.332036,314.332036,922.861798
18.500000,45.144814,531.446733,533.360745,36.361829,317.486819,36.361829,317.486819,319.562299,319.562299,961.418046
18.666667,47.105933,547.338698,549.362011,37.591085,320.693965,37.591085,320.693965,322.889623,322.889623,1002.815357
18.833333,47.596393,564.866824,566.868544,36.370887,324.784946,36.370887,324.784946,326.815089,326.815089,1047.379742
19.000000,47.909988,584.917730,586.876578,34.603139,330.902709,34.603139,330.902709,332.707049,332.707049,1095.489878
19.166667,48.819409,607.142969,609.102552,33.399579,338.306679,33.399579,338.306679,339.951380,339.951380,1147.588016
19.333333,50.418054,631.265342,633.275542,32.841762,346.325246,32.841762,346.325246,347.878940,347.878940,1204.194151
19.500000,52.646578,657.291163,659.396190,32.770071,354.666338,32.770071,354.666338,356.177047,356.177047,1265.921897
19.666667,55.472753,685.394552,687.635745,33.046139,363.232118,33.046139,363.232118,364.732256,364.732256,1333.503277
19.833333,58.911811,715.846850,718.266882,33.579978,371.999737,33.579978,371.999737,373.512275,373.512275,1407.816413
20.000000,63.022520,748.997574,751.644333,34.316758,380.973776,34.316758,380.973776,382.516219,382.516219,1489.925193
20.166667,67.908128,785.277661,788.208423,35.224683,390.169016,35.224683,390.169016,391.755841,391.755841,1581.126520
20.333333,73.717030,825.218512,828.504552,36.284909,399.603446,36.284909,399.603446,401.247441,401.247441,1683.024650
20.500000,80.656473,869.478882,873.211883,37.487563,409.296365,37.487563,409.296365,411.009527,411.009527,1797.622041
20.666667,89.011730,918.885423,923.186606,38.828568,419.267578,38.828568,419.267578,421.061706,421.061706,1927.451835
20.833333,99.177803,974.489919,979.523782,40.307930,429.537268,40.307930,429.537268,431.424378,431.424378,2075.764960
21.000000,111.709825,1037.651510,1043.647326,41.928747,440.126066,41.928747,440.126066,442.118733,442.118733,2246.801831
21.166667,127.404326,1110.157062,1117.443763,43.696602,451.055207,43.696602,451.055207,453.166848,453.166848,2446.196498
21.333333,147.432601,1194.401306,1203.466182,45.618910,462.346394,45.618910,462.346394,464.591512,464.591512,2681.594484
21.500000,173.578001,1293.663273,1305.256291,47.706091,474.023105,47.706091,474.023105,476.417647,476.417647,2963.626719
21.666667,208.644152,1412.540749,1427.866853,49.969571,486.109069,49.969571,486.109069,488.670630,488.670630,3307.500803
21.833333,257.245618,1557.651898,1578.751008,52.423080,498.629503,52.423080,498.629503,501.377663,501.377663,3735.708772
22.000000,327.382401,1738.789270,1769.340940,55.082461,511.610973,55.082461,511.610973,514.567649,514.567649,4282.856259
22.166667,433.833149,1970.819110,2018.003758,57.965798,525.081525,57.965798,525.081525,528.271371,528.271371,5004.748719
22.333333,606.102506,2276.594843,2355.895653,61.093627,539.070807,61.093627,539.070807,542.521674,542.521674,5996.519867
22.500000,908.898901,2689.736855,2839.151556,64.489189,553.610186,64.489189,553.610186,557.353653,557.353653,7430.845660
22.666667,1499.863726,3244.224405,3574.154891,68.178705,568.732865,68.178705,568.732865,572.804860,572.804860,9639.262674
22.833333,2788.040193,3848.318256,4752.128105,72.191749,584.473979,72.191749,584.473979,588.915513,588.915513,13237.275768
23.000000,5467.694119,3427.511426,6453.178562,76.561643,600.870690,76.561643,600.870690,605.728711,605.728711,18615.088575
23.166667,7024.607366,-558.057101,7046.739414,81.325916,617.962256,81.325916,617.962256,623.290666,623.290666,21112.670470
23.333333,4259.127513,-3064.517166,5247.040368,86.526852,635.790077,86.526852,635.790077,641.650931,641.650931,16382.533532
23.500000,2215.109866,-2822.810039,3588.170597,92.212085,654.397699,92.212085,654.397699,660.862631,660.862631,11719.086832
23.666667,1287.945526,-2224.073587,2570.079181,98.435271,673.830783,98.435271,673.830783,680.982692,680.982692,8818.437877
23.833333,842.520181,-1738.880590,1932.238588,105.256856,694.137005,105.256856,694.137005,702.072067,702.072067,6999.527733
24.000000,604.438959,-1377.100432,1503.912250,112.744908,715.365879,112.744908,715.365879,724.195937,724.195937,5784.221849
24.166667,465.721731,-1103.755997,1197.987492,120.976043,737.568497,120.976043,737.568497,747.423902,747.423902,4923.823294
24.333333,379.756719,-891.038458,968.589025,130.036391,760.797143,130.036391,760.797143,771.830135,771.830135,4285.842234
24.500000,324.298346,-720.411347,790.039193,140.022706,785.104778,140.022706,785.104778,797.493493,797.493493,3795.206627
