Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
10.166667,12.489788,85.222875,86.133229,12.657512,71.364938,12.657512,71.364938,72.478735,72.478735,113.595731
10.333333,13.473207,87.063753,88.100082,13.836735,72.966357,13.836735,72.966357,74.266711,74.266711,115.965999
10.500000,14.562828,88.861029,90.046424,15.161914,74.508577,15.161914,74.508577,76.035595,76.035595,118.327907
10.666667,15.767739,90.593127,91.955078,16.647121,75.961012,16.647121,75.961012,77.763758,77.763758,120.678014
10.833333,17.094516,92.231911,93.802707,18.302994,77.283377,18.302994,77.283377,79.421156,79.421156,123.012507
11.000000,18.544698,93.741607,95.558331,20.132989,78.424047,20.132989,78.424047,80.967083,80.967083,125.327250
11.166667,20.111018,95.078359,97.182032,22.127809,79.319323,22.127809,79.319323,82.348011,82.348011,127.617871
11.333333,21.772298,96.191222,98.624460,24.257785,79.894850,24.257785,79.894850,83.496271,83.496271,129.879875
11.500000,23.487298,97.025839,99.828186,26.463713,80.071038,26.463713,80.071038,84.330891,84.330891,132.108816
11.666667,25.188853,97.532241,100.732399,28.648076,79.774631,28.648076,79.774631,84.762633,84.762633,134.300501
11.833333,26.781020,97.677639,101.282497,30.670772,78.957775,30.670772,78.957775,84.705528,84.705528,136.451254
12.000000,28.143337,97.463151,101.445124,32.355480,77.622932,32.355480,77.622932,84.096353,84.096353,138.558209
12.166667,29.145980,96.939738,101.226484,33.512314,75.846640,33.512314,75.846640,82.920371,82.920371,140.619643
12.333333,29.675789,96.215193,100.687714,33.976742,73.789838,33.976742,73.789838,81.236440,81.236440,142.635313
12.500000,29.666104,95.444265,99.948414,33.654176,71.682917,33.654176,71.682917,79.189925,79.189925,144.606772
12.666667,29.117573,94.800972,99.171858,32.550961,69.784109,32.550961,69.784109,77.002512,77.002512,146.537638
12.833333,28.098976,94.442748,98.534182,30.775363,68.325661,30.775363,68.325661,74.936766,74.936766,148.433765
13.000000,26.727458,94.481684,98.189336,28.507648,67.470747,28.507648,67.470747,73.246076,73.246076,150.303294
13.166667,25.138435,94.973602,98.244216,25.954684,67.297187,25.954684,67.297187,72.128753,72.128753,152.156551
13.333333,23.458543,95.925268,98.752014,23.309132,67.808466,23.309132,67.808466,71.702885,71.702885,154.005783
13.500000,21.790105,97.312407,99.722180,20.725988,68.961009,20.725988,68.961009,72.008245,72.008245,155.864741
13.666667,20.208741,99.099870,101.139396,18.318899,70.694726,18.318899,70.694726,73.029627,73.029627,157.748140
13.833333,18.771791,101.258103,102.983415,16.172803,72.958028,16.172803,72.958028,74.729067,74.729067,159.671046
14.000000,17.535310,103.772953,105.244063,14.369501,75.722828,14.369501,75.722828,77.074180,77.074180,161.648237
14.166667,16.580104,106.645192,107.926349,13.026883,78.984079,13.026883,78.984079,80.051137,80.051137,163.693615
14.333333,16.048374,109.867636,111.033543,12.354095,82.725644,12.354095,82.725644,83.643026,83.643026,165.819709
14.500000,16.176031,113.348063,114.496495,12.700269,86.804778,12.700269,86.804778,87.728936,87.728936,168.037309
14.666667,17.230009,116.748615,118.013187,14.460744,90.711281,14.460744,90.711281,91.856680,91.856680,170.355249
14.833333,19.173110,119.410689,120.940154,17.574556,93.454798,17.574556,93.454798,95.092924,95.092924,172.780341
15.000000,21.337818,120.850232,122.719522,21.035355,94.307706,21.035355,94.307706,96.625201,96.625201,175.317440
15.166667,23.030158,121.283900,123.451094,23.797377,93.594249,23.797377,93.594249,96.572246,96.572246,177.969608
15.333333,23.946493,120.963190,123.310697,25.400773,91.691580,25.400773,91.691580,95.144864,95.144864,180.738357
15.500000,23.498428,120.328675,122.601656,24.959005,89.260969,24.959005,89.260969,92.684802,92.684802,183.623926
15.666667,21.817729,120.527633,122.486422,22.666304,88.024132,22.666304,88.024132,90.895595,90.895595,186.625568
15.833333,19.909952,121.877187,123.492732,20.028107,88.457759,20.028107,88.457759,90.696748,90.696748,189.741834
16.000000,18.295997,123.950799,125.293831,17.823338,89.923166,17.823338,89.923166,91.672499,91.672499,192.970820
16.166667,17.028300,126.392502,127.534417,16.128670,91.887557,16.128670,91.887557,93.292321,93.292321,196.310391
16.333333,16.022570,129.025850,130.016894,14.816090,94.087386,14.816090,94.087386,95.246799,95.246799,199.758364
16.500000,15.268366,131.790362,132.671860,13.868713,96.432955,13.868713,96.432955,97.425130,97.425130,203.312647
16.666667,14.669851,134.650565,135.447330,13.141866,98.871939,13.141866,98.871939,99.741511,99.741511,206.971351
16.833333,14.206053,137.608027,138.339369,12.603425,101.407409,12.603425,101.407409,102.187617,102.187617,210.732875
17.000000,13.947152,140.677088,141.366779,12.358202,104.061410,12.358202,104.061410,104.792663,104.792663,214.595952
17.166667,13.880615,143.867136,144.535201,12.387105,106.848358,12.387105,106.848358,107.563990,107.563990,218.559690
17.333333,14.145074,147.154619,147.832896,12.897917,109.733066,12.897917,109.733066,110.488471,110.488471,222.623590
17.500000,14.928289,150.348079,151.087387,14.172208,112.428280,14.172208,112.428280,113.318002,113.318002,226.787551
17.666667,16.186572,152.884625,153.739109,16.144437,114.089395,16.144437,114.089395,115.226008,115.226008,231.051872
17.833333,16.983459,154.438381,155.369403,17.409922,114.227144,17.409922,114.227144,115.546293,115.546293,235.417245
18.000000,16.672175,156.085873,156.973759,16.998500,114.455769,16.998500,114.455769,115.711158,115.711158,239.884635
18.166667,16.066654,158.565235,159.377135,16.131244,115.881569,16.131244,115.881569,116.998954,116.998954,244.455695
18.333333,15.839175,161.576206,162.350700,15.816606,118.053215,15.816606,118.053215,119.108046,119.108046,249.132137
18.500000,16.186392,164.620955,165.414806,16.349613,120.222804,16.349613,120.222804,121.329438,121.329438,253.916116
18.666667,16.888765,167.100812,167.952112,17.400970,121.491010,17.400970,121.491010,122.730841,122.730841,258.810129
18.833333,17.039908,168.926653,169.783900,17.611053,121.722682,17.611053,121.722682,122.990083,122.990083,263.817007
19.000000,16.346652,171.093638,171.872761,16.540050,122.408965,16.540050,122.408965,123.521367,123.521367,268.939902
19.166667,15.548934,173.970535,174.664011,15.297774,124.101247,15.297774,124.101247,125.040559,125.040559,274.182289
19.333333,14.999783,177.236772,177.870365,14.413489,126.316691,14.413489,126.316691,127.136364,127.136364,279.548067
19.500000,14.684637,180.660803,181.256625,13.865385,128.705989,13.865385,128.705989,129.450687,129.450687,285.041145
19.666667,14.533719,184.156249,184.728863,13.548398,131.137302,13.548398,131.137302,131.835318,131.835318,290.666051
19.833333,14.495873,187.698024,188.256948,13.385451,133.570623,13.385451,133.570623,134.239642,134.239642,296.427536
20.000000,14.539543,191.282079,191.833866,13.328935,135.997258,13.328935,135.997258,136.648874,136.648874,302.330832
20.166667,14.646260,194.911046,195.460555,13.350412,138.418615,13.350412,138.418615,139.060945,139.060945,308.381067
20.333333,14.804429,198.589544,199.140599,13.432041,140.838683,13.432041,140.838683,141.477752,141.477752,314.584151
20.500000,15.007007,202.322551,202.878350,13.562610,143.261892,13.562610,143.261892,143.902447,143.902447,320.946208
20.666667,15.249649,206.114945,206.678306,13.734865,145.692345,13.734865,145.692345,146.338326,146.338326,327.473737
20.833333,15.529742,209.971392,210.544908,13.944054,148.133641,13.944054,148.133641,148.788482,148.788482,334.173624
21.000000,15.845844,213.896365,214.482507,14.187076,150.588898,14.187076,150.588898,151.255708,151.255708,341.053164
21.166667,16.197335,217.894191,218.495383,14.461957,153.060807,14.461957,153.060807,153.742508,153.742508,348.120074
21.333333,16.584024,221.968999,222.587660,14.767380,155.551557,14.767380,155.551557,156.250960,156.250960,355.382498
21.500000,17.006755,226.125158,226.763791,15.103068,158.063458,15.103068,158.063458,158.783373,158.783373,362.849120
21.666667,17.466235,230.366741,231.027931,15.468772,160.598158,15.468772,160.598158,161.341412,161.341412,370.529051
