DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
289.502830,-237.536960,-52.066737
292.775933,-231.220539,-61.653726
295.751775,-224.682176,-71.166632
298.426758,-217.928533,-80.595393
300.797998,-210.966201,-89.930322
302.863078,-203.801617,-99.162458
304.620066,-196.441132,-108.283446
306.067919,-188.891039,-117.285552
307.206049,-181.157844,-126.161727
308.034614,-173.247885,-134.905427
308.554274,-165.167852,-143.510410
308.765918,-156.924449,-151.970834
2.172684,-1.078925,-1.091053
2.201289,-1.054232,-1.144207
2.234272,-1.011912,-1.219141
1.807812,-0.741596,-1.064153
1.731984,-0.656859,-1.074057
1.452081,-0.472147,-0.977025
0.293230,0.134678,-0.420408
0.106447,0.230109,-0.327519
0.232218,0.171636,-0.394097
0.411620,0.090224,-0.491642
0.572148,0.024020,-0.585584
0.849969,-0.094909,-0.745098
1.137062,-0.211243,-0.916688
1.233542,-0.229511,-0.994049
1.328022,-0.243683,-1.073317
1.359042,-0.222103,-1.127179
1.352217,-0.179732,-1.166234
1.288778,-0.103100,-1.182369
1.267435,-0.043797,-1.222034
1.306620,-0.018995,-1.286879
1.425314,-0.046057,-1.377648
1.562701,-0.079630,-1.477898
1.682626,-0.106147,-1.566479
1.787600,-0.127509,-1.646311
1.876005,-0.136492,-1.723536
1.921862,-0.117441,-1.788283
1.939881,-0.076136,-1.850470
1.933927,-0.017363,-1.908495
1.926832,0.048755,-1.971937
1.920098,0.116089,-2.034132
1.933228,0.172347,-2.102679
1.954977,0.223239,-2.173083
1.990282,0.264276,-2.247075
2.050523,0.285720,-2.328307
2.138515,0.287172,-2.420374
2.203664,0.303562,-2.506639
2.205948,0.357318,-2.567651
2.154463,0.440020,-2.602966
2.082201,0.536390,-2.629456
2.003163,0.639531,-2.653782
1.932951,0.738321,-2.681080
1.894933,0.817728,-2.721229
1.897309,0.875307,-2.780980
1.925098,0.919776,-2.854320
1.958012,0.960781,-2.930466
1.984266,1.004544,-3.003443
1.999436,1.053537,-3.070253
2.010795,1.102335,-3.131581
2.023238,1.146822,-3.187751
2.029880,1.192386,-3.237859
2.012846,1.250251,-3.276364
1.971744,1.320190,-3.303785
1.917875,1.396788,-3.326748
1.863318,1.475422,-3.352920
1.807791,1.556248,-3.381866
1.754388,1.636233,-3.413031
1.702052,1.715297,-3.444398
1.648739,1.794518,-3.474157
1.587519,1.876886,-3.497756
1.521374,1.960530,-3.516236
1.455250,2.042950,-3.532366
1.399279,2.118369,-3.551051
1.355350,2.184812,-3.572768
1.319188,2.244381,-3.595761
1.276892,2.304527,-3.613658
1.222300,2.368043,-3.622837
1.155762,2.434356,-3.622679
1.085339,2.499759,-3.617305
1.013398,2.563566,-3.608471
0.942932,2.624160,-3.597936
0.873813,2.681735,-3.586178
0.806983,2.736454,-3.574586
0.738756,2.790649,-3.561879
0.668419,2.844733,-3.547622
0.594977,2.899326,-3.531065
0.520966,2.953023,-3.512792
0.445815,3.005896,-3.491762
