DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
288.512849,-237.330517,-51.347427
291.816683,-231.128255,-60.841012
294.824279,-224.701323,-70.263726
297.532052,-218.055516,-79.606560
299.937054,-211.196552,-88.860830
302.036694,-204.129998,-98.018477
303.828789,-196.861399,-107.071917
305.311929,-189.396298,-116.014029
306.485108,-181.740563,-124.838187
307.348030,-173.900060,-133.538054
307.900936,-165.881161,-142.107448
308.144347,-157.690448,-150.540455
2.168455,-1.084501,-1.080915
2.197143,-1.060085,-1.133853
2.230260,-1.018116,-1.208539
1.804815,-0.746926,-1.055480
1.729231,-0.662081,-1.065741
1.430278,-0.467008,-0.960017
0.203699,0.176710,-0.372583
0.012583,0.272416,-0.275653
0.146584,0.207046,-0.343550
0.330534,0.120517,-0.440500
0.502328,0.046151,-0.537540
0.822093,-0.095882,-0.716009
1.193581,-0.254073,-0.930795
1.287027,-0.266979,-1.011792
1.325471,-0.250535,-1.066522
1.317638,-0.210195,-1.099262
1.267227,-0.149810,-1.110489
1.140682,-0.048407,-1.086259
1.046699,0.036895,-1.077598
1.072139,0.056187,-1.122335
1.209581,0.009890,-1.213731
1.347953,-0.027587,-1.314314
1.464079,-0.051159,-1.406014
1.582248,-0.076090,-1.498465
1.693216,-0.092106,-1.592189
1.747923,-0.074245,-1.662907
1.771512,-0.037427,-1.722216
1.789990,-0.000094,-1.778533
1.812209,0.038166,-1.839712
1.816790,0.086409,-1.892699
1.821866,0.133803,-1.945746
1.827348,0.182198,-2.001239
1.839164,0.229001,-2.062331
1.867851,0.265462,-2.130898
1.929123,0.281630,-2.212455
1.986417,0.303400,-2.294906
1.997943,0.354065,-2.358486
1.964403,0.428405,-2.398969
1.912912,0.512781,-2.430636
1.852529,0.602461,-2.458607
1.792543,0.690415,-2.486177
1.755232,0.762188,-2.522204
1.754186,0.812377,-2.574737
1.779110,0.848373,-2.639764
1.811471,0.880306,-2.707691
1.840945,0.914730,-2.774015
1.862618,0.955068,-2.836626
1.880134,0.998170,-2.895756
1.894965,1.041306,-2.950674
1.900653,1.088400,-3.000212
1.881424,1.148265,-3.038849
1.838817,1.218515,-3.066639
1.786536,1.291923,-3.090130
1.738995,1.362894,-3.117568
1.695866,1.432532,-3.148789
1.658115,1.499940,-3.182968
1.622354,1.566990,-3.217849
1.584526,1.636115,-3.251452
1.535803,1.710941,-3.278563
1.478581,1.789026,-3.299547
1.418915,1.866520,-3.317160
1.368334,1.936620,-3.336610
1.329316,1.997276,-3.358558
1.297722,2.051179,-3.381522
1.259552,2.106797,-3.399677
1.208035,2.168012,-3.409719
1.142887,2.234726,-3.410941
1.072453,2.302598,-3.407349
1.000389,2.369439,-3.400803
0.931362,2.431804,-3.393195
0.866719,2.488385,-3.385112
0.808053,2.538790,-3.377996
0.751148,2.586005,-3.370480
