All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.014400,-61.617312,-230.772379,292.379031
0.014500,-52.044225,-236.960631,288.987620
0.014600,-42.406308,-242.936357,285.317144
0.014700,-32.715934,-248.692873,281.373758
0.014800,-22.985752,-254.223257,277.162914
0.014900,-13.228267,-259.520603,272.690501
0.015000,-3.455757,-264.578178,267.962109
0.015100,6.319526,-269.389541,262.983536
0.015200,16.085485,-273.948061,257.760737
0.015300,25.829975,-278.247918,252.299835
0.015400,35.541275,-282.282957,246.607030
0.015500,45.207569,-286.047527,240.688591
0.015600,54.817944,-289.536138,234.550363
0.015700,64.361938,-292.743497,228.198234
0.015800,73.829585,-295.665014,221.637235
0.015900,83.212199,-298.296642,214.872734
0.016000,92.501352,-300.634865,207.909498
0.016100,101.689125,-302.676943,200.752642
0.016200,110.768119,-304.420249,193.407359
0.016300,119.730579,-305.862585,185.878981
0.016400,128.569013,-307.001606,178.173053
0.016500,137.275822,-307.835317,170.295182
0.016600,145.842607,-308.360896,162.251106
0.016700,154.264005,-308.577705,154.045648
0.016800,162.532213,-308.484076,145.684621
0.016900,170.640106,-308.078882,137.174175
0.017000,178.583342,-307.362848,128.519052
0.017100,186.354630,-306.335457,119.725978
0.017200,193.947527,-304.997247,110.801660
0.017300,201.356730,-303.349694,101.752684
0.017400,208.574996,-301.393480,92.587031
0.017500,215.595716,-299.130709,83.312964
0.017600,222.413074,-296.563911,73.938936
0.017700,229.019988,-293.695836,64.474542
0.017800,235.410200,-290.530226,54.929486
0.017900,241.577738,-287.071418,45.314102
0.018000,247.515702,-283.323998,35.639381
0.018100,253.217648,-279.293218,25.917058
0.018200,258.676906,-274.984660,16.159171
0.018300,263.886053,-270.403946,6.378517
0.018400,268.838090,-265.556831,-3.411987
0.018500,273.525892,-260.449351,-13.199414
0.018600,277.942357,-255.087311,-22.970901
0.018700,282.081123,-249.476977,-32.713925
0.018800,285.936398,-243.624684,-42.416450
0.018900,289.502830,-237.536960,-52.066737
0.019000,292.775933,-231.220539,-61.653726
0.019100,295.751775,-224.682176,-71.166632
0.019200,298.426758,-217.928533,-80.595393
0.019300,300.797998,-210.966201,-89.930322
0.019400,302.863078,-203.801617,-99.162458
0.019500,304.620066,-196.441132,-108.283446
0.019600,306.067919,-188.891039,-117.285552
0.019700,307.206049,-181.157844,-126.161727
0.019800,308.034614,-173.247885,-134.905427
0.019900,308.554274,-165.167852,-143.510410
0.020000,308.765918,-156.924449,-151.970834
0.020050,2.172684,-1.078925,-1.091053
0.020118,2.201289,-1.054232,-1.144207
0.020218,2.234272,-1.011912,-1.219141
0.020318,1.807812,-0.741596,-1.064153
0.020418,1.731984,-0.656859,-1.074057
0.020518,1.452081,-0.472147,-0.977025
0.020618,0.293230,0.134678,-0.420408
0.020718,0.106447,0.230109,-0.327519
0.020818,0.232218,0.171636,-0.394097
0.020918,0.411620,0.090224,-0.491642
0.021018,0.572148,0.024020,-0.585584
0.021118,0.849969,-0.094909,-0.745098
0.021218,1.137062,-0.211243,-0.916688
0.021318,1.233542,-0.229511,-0.994049
0.021418,1.328022,-0.243683,-1.073317
0.021518,1.359042,-0.222103,-1.127179
0.021618,1.352217,-0.179732,-1.166234
0.021718,1.288778,-0.103100,-1.182369
0.021818,1.267435,-0.043797,-1.222034
0.021918,1.306620,-0.018995,-1.286879
0.022018,1.425314,-0.046057,-1.377648
0.022118,1.562701,-0.079630,-1.477898
