All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.014400,-60.649853,-229.748224,290.387364
0.014500,-51.259029,-235.868350,287.132898
0.014600,-41.819425,-241.753301,283.593897
0.014700,-32.339116,-247.398786,279.773808
0.014800,-22.826158,-252.800876,275.676207
0.014900,-13.288454,-257.955732,271.305222
0.015000,-3.734426,-262.859882,266.665023
0.015100,5.827385,-267.509641,261.760511
0.015200,15.387954,-271.901434,256.596907
0.015300,24.937949,-276.031852,251.179714
0.015400,34.467907,-279.897149,245.514978
0.015500,43.967893,-283.493932,239.608542
0.015600,53.428282,-286.818541,233.466717
0.015700,62.839260,-289.867625,227.095868
0.015800,72.191170,-292.638393,220.502544
0.015900,81.474939,-295.128172,213.693777
0.016000,90.681488,-297.335009,206.676548
0.016100,99.802078,-299.257113,199.458204
0.016200,108.828061,-300.893002,192.046145
0.016300,117.750731,-302.241377,184.447986
0.016400,126.561278,-303.300956,176.671612
0.016500,135.250681,-304.070566,168.724945
0.016600,143.808950,-304.548070,160.616497
0.016700,152.228604,-304.733230,152.353559
0.016800,160.499534,-304.624276,143.944848
0.016900,168.612206,-304.219930,135.399016
0.017000,176.559909,-303.520546,126.723330
0.017100,184.333135,-302.524943,117.926691
0.017200,191.923418,-301.233261,109.017714
0.017300,199.323892,-299.646173,100.004499
0.017400,206.525581,-297.763730,90.896360
0.017500,213.520538,-295.587143,81.702508
0.017600,220.301774,-293.117919,72.431939
0.017700,226.861143,-290.357468,63.094113
0.017800,233.191934,-287.307950,53.698209
0.017900,239.288147,-283.971935,44.252939
0.018000,245.143508,-280.352081,34.767233
0.018100,250.753013,-276.451810,25.249764
0.018200,256.111910,-272.274946,15.708963
0.018300,261.215252,-267.825373,6.153686
0.018400,266.058796,-263.107569,-3.407381
0.018500,270.638229,-258.126119,-12.965444
0.018600,274.949037,-252.885732,-22.511432
0.018700,278.987195,-247.391425,-32.036496
0.018800,282.748731,-241.648196,-41.531690
0.018900,286.229627,-235.661312,-50.988171
0.019000,289.426512,-229.436290,-60.397177
0.019100,292.336202,-222.978955,-69.749918
0.019200,294.955815,-216.295605,-79.037638
0.019300,297.283210,-209.392953,-88.251521
0.019400,299.316443,-202.278189,-97.382871
0.019500,301.054000,-194.958841,-106.422865
0.019600,302.494804,-187.442775,-115.362737
0.019700,303.637813,-179.738108,-124.193797
0.019800,304.482375,-171.853006,-132.907255
0.019900,305.027951,-163.795818,-141.494517
0.020000,305.274121,-155.574916,-149.947025
0.020100,305.220788,-147.198740,-158.256333
0.020200,304.868115,-138.675871,-166.414192
0.020300,304.216517,-130.014990,-174.412464
0.020400,303.266707,-121.224937,-182.243185
0.020500,302.019690,-112.314643,-189.898416
0.020600,300.476527,-103.293164,-197.370318
0.020700,298.638505,-94.169648,-204.651005
0.020800,296.507040,-84.953324,-211.732598
0.020900,294.083652,-75.653566,-218.607327
0.021000,291.370261,-66.279767,-225.267492
0.021100,288.369028,-56.841495,-231.705728
0.021200,285.082691,-47.348408,-237.914915
0.021300,281.514480,-37.810278,-243.888289
0.021400,277.668012,-28.237085,-249.619477
0.021500,273.547459,-18.638798,-255.102332
0.021600,269.157247,-9.025516,-260.331039
0.021700,264.502044,0.592678,-265.299993
0.021800,259.586721,10.205759,-270.003808
0.021900,254.416238,19.803794,-274.437383
0.022000,248.995705,29.377095,-278.595870
0.022100,243.330094,38.916305,-282.474711
0.022200,237.425249,48.411880,-286.070002
0.022300,231.286458,57.854867,-289.377947
0.022400,224.919341,67.236376,-292.395097
0.022500,218.330400,76.547214,-295.118659
0.022600,211.525657,85.778755,-297.545935
0.022700,204.511734,94.922247,-299.674546
0.022800,197.295777,103.968663,-301.502673
0.022900,189.884753,112.909483,-303.028647
0.023000,182.286102,121.736111,-304.251169
0.023100,174.507525,130.439932,-305.169430
0.023200,166.556642,139.012836,-305.782832
0.023300,158.441395,147.446688,-306.091235
0.023400,150.169921,155.733542,-306.094926
0.023500,141.750356,163.865823,-305.794489
0.023600,133.191130,171.835993,-305.190954
0.023700,124.500824,179.636740,-304.285683
0.023800,115.687978,187.261007,-303.080319
0.023900,106.761281,194.701853,-301.576791
0.024000,97.729427,201.952573,-299.777221
0.024100,88.601019,209.006703,-297.683899
0.024200,79.384697,215.857887,-295.299308
0.024300,70.089109,222.499970,-292.626139
0.024400,60.723031,228.926974,-289.667291
0.024500,51.295385,235.132964,-286.425956
0.024600,41.815296,241.112132,-282.905615
0.024700,32.292111,246.858751,-279.109986
0.024800,22.735351,252.367100,-275.043079
0.024900,13.154710,257.631594,-270.709079
0.025000,3.559945,262.646726,-266.112350
0.025100,-6.039166,267.407131,-261.257411
0.025200,-15.632881,271.907662,-256.148906
0.025300,-25.211572,276.143384,-250.791663
0.025400,-34.765637,280.109678,-245.190659
0.025500,-44.285600,283.802229,-239.351091
0.025600,-53.762088,287.217018,-233.278372
0.025700,-63.185769,290.350349,-226.978109
0.025800,-72.547398,293.198807,-220.456128
0.025900,-81.837785,295.759221,-213.718423
0.026000,-91.047811,298.028669,-206.771180
0.026100,-100.168380,300.004469,-199.620749
0.026200,-109.190441,301.684165,-192.273658
0.026300,-118.105018,303.065576,-184.736621
0.026400,-126.903212,304.146803,-177.016543
0.026500,-135.576221,304.926244,-169.120555
0.026600,-144.115327,305.402644,-161.055996
0.026700,-152.511941,305.575067,-152.830469
0.026800,-160.757533,305.442943,-144.451800
0.026900,-168.843705,305.006073,-135.928050
0.027000,-176.762240,304.264590,-127.267535
0.027100,-184.505045,303.219037,-118.478740
0.027200,-192.064288,301.870340,-109.570328
0.027300,-199.432421,300.219809,-100.551110
0.027400,-206.602170,298.269177,-91.429999
0.027500,-213.566584,296.020571,-82.216010
0.027600,-220.319074,293.476553,-72.918207
0.027700,-226.853118,290.639934,-63.545900
0.027800,-233.162606,287.513962,-54.108432
0.027900,-239.241577,284.102184,-44.615252
0.028000,-245.084053,280.408273,-35.076023
0.028100,-250.684416,276.436269,-25.500424
0.028200,-256.037114,272.190406,-15.898223
0.028300,-261.136696,267.675053,-6.279237
0.028400,-265.978090,262.894890,3.346741
0.028500,-270.556408,257.854796,12.969926
0.028600,-274.867004,252.559840,22.580574
0.028700,-278.905666,247.015428,32.168980
0.028800,-282.668419,241.227228,41.725475
0.028900,-286.151612,235.201156,51.240425
0.029000,-289.351978,228.943443,60.704244
0.029100,-292.266515,222.460542,70.107414
0.029200,-294.892546,215.759115,79.440496
0.029300,-297.227735,208.846068,88.694168
0.029400,-299.270006,201.728448,97.859235
0.029500,-301.017602,194.413456,106.926658
0.029600,-302.469032,186.908477,115.887490
0.029700,-303.623064,179.220993,124.732933
0.029800,-304.478742,171.358634,133.454343
0.029900,-305.035356,163.329166,142.043185
0.030000,-305.292418,155.140463,150.491058
0.030100,-305.249689,146.800518,158.789694
0.030200,-304.907155,138.317441,166.930912
0.030300,-304.265030,129.699443,174.906699
0.030400,-303.323803,120.954854,182.709184
0.030500,-302.084236,112.092134,190.330659
0.030600,-300.547405,103.119854,197.763616
0.030700,-298.714732,94.046723,205.000759
0.030800,-296.587979,84.881602,212.035002
0.030900,-294.169273,75.633465,218.859479
0.031000,-291.461054,66.311426,225.467551
0.031100,-288.466056,56.924675,231.852776
0.031200,-285.187304,47.482510,238.008903
0.031300,-281.628025,37.994272,243.929898
0.031400,-277.791667,28.469303,249.609908
0.031500,-273.681886,18.916944,255.043305
0.031600,-269.302529,9.346495,260.224702
0.031700,-264.657672,-0.232756,265.148952
0.031800,-259.751618,-9.811558,269.811194
0.031900,-254.588920,-19.380700,274.206833
0.032000,-249.174391,-28.930976,278.331556
0.032100,-243.513111,-38.453194,282.181328
0.032200,-237.610435,-47.938165,285.752380
0.032300,-231.472003,-57.376694,289.041215
0.032400,-225.103722,-66.759592,292.044619
0.032500,-218.511772,-76.077687,294.759664
0.032600,-211.702621,-85.321862,297.183716
0.032700,-204.683000,-94.483022,299.314449
0.032800,-197.459894,-103.552109,301.149854
0.032900,-190.040542,-112.520164,302.688228
0.033000,-182.432401,-121.378311,303.928177
0.033100,-174.643149,-130.117758,304.868614
0.033200,-166.680604,-138.729876,305.508721
0.033300,-158.552785,-147.206113,305.847973
0.033400,-150.267845,-155.538054,305.886130
0.033500,-141.834020,-163.717488,305.623196
0.033600,-133.259709,-171.736329,305.059468
0.033700,-124.553421,-179.586662,304.195513
0.033800,-115.723753,-187.260762,303.032169
0.033900,-106.779450,-194.751041,301.570584
0.034000,-97.729403,-202.050082,299.812191
0.034100,-88.582635,-209.150632,297.758720
0.034200,-79.348331,-216.045569,295.412212
0.034300,-70.035790,-222.727945,292.774982
0.034400,-60.654431,-229.190979,289.849635
0.034500,-51.213783,-235.428070,286.639038
0.034600,-41.723404,-241.432836,283.146309
0.034700,-32.192867,-247.199116,279.374825
0.034800,-22.631747,-252.721005,275.328208
0.034900,-13.049576,-257.992873,271.010333
0.035000,-3.455867,-263.009376,266.425342
0.035100,6.139891,-267.765476,261.577633
0.035200,15.728277,-272.256431,256.471875
0.035300,25.299910,-276.477796,251.112997
0.035400,34.845450,-280.425428,245.506182
0.035500,44.355618,-284.095470,239.656860
0.035600,53.821181,-287.484342,233.570702
0.035700,63.232945,-290.588753,227.253616
0.035800,72.581778,-293.405685,220.711739
0.035900,81.858598,-295.932396,213.951444
0.036000,91.054383,-298.166424,206.979339
0.036100,100.160123,-300.105579,199.802268
0.036200,109.166882,-301.747961,192.427294
0.036300,118.065809,-303.091949,184.861701
0.036400,126.848132,-304.136210,177.112977
0.036500,135.505190,-304.879719,169.188789
0.036600,144.028458,-305.321739,161.096988
0.036700,152.409548,-305.461847,152.845583
0.036800,160.640242,-305.299940,144.442728
0.036900,168.712514,-304.836227,135.896729
0.037000,176.618511,-304.071243,127.216027
0.037100,184.350562,-303.005846,118.409198
0.037200,191.901187,-301.641201,109.484939
0.037300,199.263061,-299.978777,100.452081
0.037400,206.429024,-298.020330,91.319580
0.037500,213.392069,-295.767891,82.096509
0.037600,220.145342,-293.223753,72.792027
0.037700,226.682142,-290.390472,63.415402
0.037800,232.995953,-287.270852,53.975998
0.037900,239.080437,-283.867956,44.483215
0.038000,244.929471,-280.185111,34.946503
0.038100,250.537171,-276.225900,25.375349
0.038200,255.897881,-271.994191,15.779248
0.038300,261.006209,-267.494133,6.167732
0.038400,265.857040,-262.730148,-3.449643
0.038500,270.445524,-257.706952,-13.063346
0.038600,274.767089,-252.429542,-22.663821
0.038700,278.817467,-246.903194,-32.241538
0.038800,282.592655,-241.133414,-41.787005
0.038900,286.088951,-235.125992,-51.290744
0.039000,289.302945,-228.886963,-60.743346
0.039100,292.231497,-222.422576,-70.135457
0.039200,294.871747,-215.739302,-79.457772
0.039300,297.221113,-208.843817,-88.701071
0.039400,299.277271,-201.742972,-97.856234
0.039500,301.038164,-194.443822,-106.914183
0.039600,302.502005,-186.953580,-115.865932
0.039700,303.667271,-179.279621,-124.702627
0.039800,304.532727,-171.429485,-133.415524
0.039900,305.097433,-163.410853,-141.996021
0.040000,305.360748,-155.231563,-150.435679
0.040100,305.322353,-146.899609,-158.726196
0.040200,304.982252,-138.423132,-166.859448
