All calculations,WOO\400 kV B1,WOO\400 kV B1,WOO\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.000000,314.758530,-157.845038,-156.874821
0.000100,314.838230,-147.372325,-166.394419
0.000200,313.772355,-139.512792,-174.430937
0.000300,312.883013,-130.400232,-182.315818
0.000400,311.729151,-121.289480,-190.524956
0.000500,310.611532,-111.476458,-199.361733
0.000600,308.903459,-100.987971,-207.795873
0.000700,306.136019,-90.028852,-216.270855
0.000800,303.063496,-80.293439,-222.876275
0.000900,299.953466,-71.910574,-228.431440
0.001000,297.042679,-63.487540,-233.909982
0.001100,293.998216,-54.652014,-239.835707
0.001200,290.680101,-44.880702,-245.876918
0.001300,286.986729,-35.405236,-251.808891
0.001400,283.390179,-26.104979,-257.117604
0.001500,279.467945,-17.845985,-261.756195
0.001600,275.568292,-8.995799,-266.498058
0.001700,271.252129,0.146753,-271.579441
0.001800,266.510151,10.351764,-276.799964
0.001900,261.049070,20.741773,-281.796308
0.002000,255.404943,31.218470,-286.453771
0.002100,249.574488,41.029180,-290.458515
0.002200,243.516056,51.066099,-294.417908
0.002300,236.980224,61.335358,-298.226102
0.002400,230.172343,71.305995,-301.583631
0.002500,223.334750,80.663164,-304.009448
0.002600,216.467023,89.361350,-305.983441
0.002700,209.561923,98.123794,-307.620676
0.002800,202.259913,106.852823,-309.301456
0.002900,194.705282,115.915424,-310.665159
0.003000,186.747681,124.516836,-311.646019
0.003100,178.729762,133.158989,-312.109360
0.003200,170.466678,141.507495,-312.419211
0.003300,162.165443,150.322198,-312.668222
0.003400,153.535746,159.126367,-312.905099
0.003500,144.790459,168.142275,-312.918607
0.003600,135.783053,176.696999,-312.475194
0.003700,126.676220,185.052815,-311.567630
0.003800,117.315921,193.179201,-310.311063
0.003900,107.750430,201.492581,-309.000172
0.004000,97.879270,209.989951,-307.547609
0.004100,87.745011,218.472171,-305.940966
0.004200,77.492912,226.652920,-303.775997
0.004300,67.186781,234.092833,-301.116819
0.004400,56.999342,241.030776,-297.832960
0.004500,46.829244,247.329504,-294.269144
0.004600,36.866923,253.361468,-290.267138
0.004700,26.982871,258.761444,-286.024784
0.004800,17.369791,263.865772,-281.381418
0.004900,7.832134,268.430539,-276.586618
0.005000,-1.511676,272.901183,-271.590407
0.005100,-10.856155,277.079417,-266.537675
0.005200,-20.080375,281.223704,-261.318790
0.005300,-29.304931,285.116112,-255.968175
0.005400,-38.444566,288.902433,-250.455796
0.005500,-47.591637,292.461637,-244.773559
0.005600,-56.729939,295.803481,-238.911645
0.005700,-65.873829,298.858719,-232.736330
0.005800,-75.030661,301.504505,-226.272482
0.005900,-84.136356,303.845522,-219.395531
0.006000,-93.270765,305.786053,-212.289202
0.006100,-102.345327,307.593747,-204.868767
0.006200,-111.498583,309.086404,-197.331214
0.006300,-120.599726,310.467048,-189.495126
0.006400,-129.760084,311.414399,-181.478369
0.006500,-138.804596,312.122213,-173.114122
0.006600,-147.837872,312.386790,-164.574259
0.006700,-156.724731,312.493936,-155.802423
0.006800,-165.569895,312.304731,-146.937827
0.006900,-174.265721,311.973477,-137.902879
0.007000,-182.872527,311.336456,-128.736687
0.007100,-191.315164,310.472277,-119.408139
0.007200,-199.615401,309.332810,-109.941505
0.007300,-207.743519,307.953843,-100.381148
0.007400,-215.666118,306.342928,-90.695143
0.007500,-223.388403,304.408425,-80.961162
0.007600,-230.819641,302.188460,-71.100072
0.007700,-238.003240,299.525160,-61.240662
0.007800,-244.810511,296.526779,-51.282217
0.007900,-251.306839,293.022165,-41.377747
0.008000,-257.346232,289.168904,-31.414334
0.008100,-263.011126,284.811279,-21.546647
0.008200,-268.182643,280.136002,-11.677712
0.008300,-272.969031,275.032074,-1.944902
0.008400,-277.301069,269.681107,7.735328
0.008500,-281.289949,264.012691,17.271234
0.008600,-284.903600,258.165688,26.730479
0.008700,-288.227690,252.107704,36.063916
0.008800,-291.264801,245.924541,45.299144
0.008900,-294.067426,239.621677,54.430680
0.009000,-296.668938,233.197537,63.463861
0.009100,-299.069629,226.665872,72.462749
0.009200,-301.321947,219.941252,81.414523
0.009300,-303.376701,213.081503,90.415426
0.009400,-305.308402,205.986060,99.397181
0.009500,-307.038557,198.765143,108.451402
0.009600,-308.648598,191.297702,117.477065
0.009700,-310.036784,183.689249,126.567501
0.009800,-311.267826,175.800380,135.619625
0.009900,-312.229090,167.728935,144.708822
0.010000,-312.964746,159.365498,153.729521
0.010100,-313.375118,150.805941,162.723325
0.010200,-313.489332,141.980334,171.596138
0.010300,-313.240118,132.962018,180.361156
0.010400,-312.644461,123.719993,188.954579
0.010500,-311.674408,114.302778,197.363363
0.010600,-310.330196,104.733873,205.558227
0.010700,-308.621117,95.036523,213.497580
0.010800,-306.523135,85.277183,221.185466
0.010900,-304.075886,75.435137,228.555681
0.011000,-301.230798,65.589890,235.644867
0.011100,-298.047934,55.674231,242.373744
0.011200,-294.462491,45.770060,248.805861
0.011300,-290.544200,35.788112,254.862657
0.011400,-286.227426,25.817406,260.617107
0.011500,-281.589596,15.784099,265.992276
0.011600,-276.583969,5.788238,271.050353
0.011700,-271.292415,-4.213769,275.723007
0.011800,-265.693450,-14.132533,280.063335
0.011900,-259.858663,-23.993731,284.032219
0.012000,-253.786416,-33.737816,287.676376
0.012100,-247.526541,-43.371611,290.989678
0.012200,-241.095972,-52.868451,294.001872
0.012300,-234.518521,-62.214290,296.734266
0.012400,-227.828574,-71.422788,299.195551
0.012500,-221.019387,-80.468269,301.432247
0.012600,-214.134795,-89.403535,303.431587
0.012700,-207.136433,-98.193111,305.255036
0.012800,-200.067310,-106.912162,306.866286
0.012900,-192.864259,-115.515425,308.325188
0.013000,-185.562001,-124.087595,309.576628
0.013100,-178.084020,-132.584550,310.668905
0.013200,-170.453502,-141.088317,311.538593
0.013300,-162.594779,-149.559937,312.218504
0.013400,-154.521778,-158.060948,312.645095
0.013500,-146.175675,-166.552260,312.831862
0.013600,-137.567211,-175.061338,312.722975
0.013700,-128.667345,-183.547449,312.312610
0.013800,-119.488806,-191.998075,311.561787
0.013900,-110.038491,-200.374905,310.450967
0.014000,-100.330261,-208.628641,308.966839
0.014100,-90.405348,-216.730411,307.082445
0.014200,-80.275823,-224.605974,304.812651
0.014300,-70.010001,-232.242110,302.125815
0.014400,-59.616906,-239.554344,299.059912
0.014500,-49.180273,-246.549206,295.583819
0.014600,-38.705069,-253.147806,291.752101
0.014700,-28.275540,-259.375564,287.540883
0.014800,-17.891038,-265.169726,283.012924
0.014900,-7.625087,-270.566283,278.152591
0.015000,2.526661,-275.522449,273.019670
0.015100,12.509097,-280.076717,267.606024
0.015200,22.328643,-284.208464,261.960669
0.015300,31.954171,-287.953634,256.084660
0.015400,41.394166,-291.314586,250.012268
0.015500,50.644136,-294.318423,243.754138
0.015600,59.712752,-296.988458,237.326464
0.015700,68.620995,-299.339773,230.747455
0.015800,77.374924,-301.413635,224.013495
0.015900,86.016382,-303.213896,217.148445
0.016000,94.548260,-304.793895,210.130953
0.016100,103.025371,-306.145575,202.986990
0.016200,111.446480,-307.323980,195.682038
0.016300,119.869948,-308.309063,188.238645
0.016400,128.289968,-309.147318,180.614545
0.016500,136.757648,-309.810250,172.825961
0.016600,145.261021,-310.330217,164.830008
0.016700,153.834094,-310.674544,156.637662
0.016800,162.456802,-310.858139,148.214751
0.016900,171.138493,-310.846689,139.569412
0.017000,179.848872,-310.634469,130.683411
0.017100,188.567631,-310.187670,121.564213
0.017200,197.253835,-309.479247,112.213814
0.017300,205.857571,-308.479880,102.641026
0.017400,214.331522,-307.146737,92.870373
0.017500,222.604060,-305.460582,82.913705
0.017600,230.629667,-303.372486,72.816672
0.017700,238.328683,-300.878667,62.594345
0.017800,245.666071,-297.934894,52.307006
0.017900,252.569254,-294.556104,41.972385
0.018000,259.021527,-290.712912,31.655440
0.018100,264.970218,-286.438708,21.372779
0.018200,270.420695,-281.724710,11.183849
0.018300,275.348042,-276.617700,1.099883
0.018400,279.778194,-271.128531,-8.835163
0.018500,283.715246,-265.309512,-18.618730
0.018600,287.200534,-259.186654,-28.228676
0.018700,290.263208,-252.808872,-37.671452
0.018800,292.951540,-246.211871,-46.947388
0.018900,295.312116,-239.433151,-56.068997
0.019000,297.390231,-232.511092,-65.055906
0.019100,299.239906,-225.465743,-73.922244
0.019200,300.894408,-218.331179,-82.701416
0.019300,302.404387,-211.106945,-91.405325
0.019400,303.785067,-203.817920,-100.073348
0.019500,305.074865,-196.444639,-108.711170
0.019600,306.269088,-189.000426,-117.355377
0.019700,307.388744,-181.452776,-126.003571
0.019800,308.410854,-173.804484,-134.682749
0.019900,309.337213,-166.018007,-143.380759
0.020000,310.131029,-158.089162,-152.109692
0.020100,310.775965,-149.983755,-160.847440
0.020200,311.227286,-141.694853,-169.588009
0.020300,311.454492,-133.198636,-178.300690
0.020400,311.411627,-124.488679,-186.961394
0.020500,311.059022,-115.556389,-195.533567
0.020600,310.356275,-106.398462,-203.977800
0.020700,309.260772,-97.023424,-212.256007
0.020800,307.743823,-87.433208,-220.318527
0.020900,305.767293,-77.653094,-228.130565
