All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.014400,-61.553747,-231.172065,292.735375
0.014500,-51.967384,-237.370138,289.349289
0.014600,-42.315784,-243.353955,285.681353
0.014700,-32.611449,-249.116801,281.737667
0.014800,-22.867140,-254.651835,277.523737
0.014900,-13.095451,-259.952285,273.045561
0.015000,-3.308715,-265.011530,268.308820
0.015100,6.480796,-269.823236,263.319374
0.015200,16.260972,-274.380851,258.083228
0.015300,26.019650,-278.678595,252.606530
0.015400,35.745076,-282.710387,246.895578
0.015500,45.425377,-286.470647,240.956774
0.015600,55.049566,-289.953948,234.796124
0.015700,64.607114,-293.155053,228.419695
0.015800,74.087976,-296.069414,221.832706
0.015900,83.483371,-298.692955,215.040691
0.016000,92.784774,-301.022154,208.048615
0.016100,101.984138,-303.054216,200.861799
0.016200,111.073935,-304.786466,193.485660
0.016300,120.046291,-306.216676,185.925778
0.016400,128.893610,-307.342461,178.187941
0.016500,137.608223,-308.161792,170.277968
0.016600,146.181680,-308.671852,162.201843
0.016700,154.608604,-308.872046,153.964626
0.016800,162.881178,-308.760815,145.572422
0.016900,170.992286,-308.337215,137.031729
0.017000,178.937626,-307.602202,128.347634
0.017100,186.709967,-306.555519,119.527204
0.017200,194.302953,-305.198008,110.577483
0.017300,201.711392,-303.531423,101.505326
0.017400,208.928174,-301.556750,92.318966
0.017500,215.946816,-299.276391,83.026899
0.017600,222.761644,-296.693163,73.637763
0.017700,229.365723,-293.810081,64.161287
0.017800,235.752915,-290.631107,54.607256
0.017900,241.917389,-287.160718,44.985979
0.018000,247.852349,-283.403570,35.308350
0.018100,253.551437,-279.364917,25.585947
0.018200,259.008028,-275.050272,15.830585
0.018300,264.214712,-270.465165,6.054831
0.018400,269.164473,-265.615223,-3.728647
0.018500,273.850153,-260.506326,-13.507198
0.018600,278.264615,-255.144126,-23.268242
0.018700,282.401451,-249.534714,-32.999553
0.018800,286.254833,-243.684242,-42.689411
0.018900,289.819372,-237.599070,-52.326381
0.019000,293.090544,-231.285747,-61.899712
0.019100,296.064401,-224.750849,-71.398932
0.019200,298.737329,-218.000865,-80.814288
0.019300,301.106442,-211.042206,-90.136403
0.019400,303.169327,-203.881118,-99.356631
0.019500,304.924051,-196.523794,-108.466883
0.019600,306.369556,-188.976354,-117.459674
0.019700,307.505230,-181.245162,-126.328151
0.019800,308.331195,-173.336420,-135.065916
0.019900,308.848057,-165.256684,-143.666845
0.020000,309.056649,-157.012522,-152.125187
0.020100,308.958077,-148.610535,-160.435067
0.020200,308.553480,-140.057515,-168.590733
0.020300,307.844010,-131.360321,-176.586161
0.020400,306.830852,-122.525926,-184.415295
0.020500,305.515342,-113.561687,-192.071823
0.020600,303.899003,-104.475176,-199.549388
0.020700,301.983589,-95.274477,-206.841492
0.020800,299.771324,-85.968125,-213.941507
0.020900,297.264635,-76.565224,-220.842681
0.021000,294.466372,-67.075358,-227.538080
0.021100,291.379670,-57.508760,-234.020521
0.021200,288.007961,-47.876024,-240.282746
0.021300,284.355073,-38.188219,-246.317242
0.021400,280.425128,-28.456958,-252.116623
0.021500,276.222742,-18.694147,-257.673435
0.021600,271.752989,-8.912057,-262.980408
0.021700,267.021329,0.876607,-268.030431
0.021800,262.033625,10.659123,-272.816584
0.021900,256.795898,20.422569,-277.332157
0.022000,251.314308,30.154236,-281.570684
0.022100,245.594628,39.841954,-285.525841
0.022200,239.643208,49.473548,-289.191985
0.022300,233.465460,59.037911,-292.563528
0.022400,227.066652,68.524575,-295.635430
0.022500,220.452563,77.923335,-298.403471
0.022600,213.628160,87.225255,-300.863905
0.022700,206.598629,96.421920,-303.013677
0.022800,199.369465,105.505398,-304.850665
0.022900,191.945733,114.468764,-306.373292
0.023000,184.332795,123.305636,-307.580688
0.023100,176.536130,132.010041,-308.472690
0.023200,168.561101,140.576770,-309.049611
0.023300,160.413390,149.000864,-309.312336
0.023400,152.099011,157.277602,-309.262367
0.023500,143.624216,165.402591,-308.901563
0.023600,134.995821,173.371287,-308.232337
0.023700,126.221180,181.179051,-307.257429
0.023800,117.308063,188.821110,-305.979848
0.023900,108.264761,196.292279,-304.402801
0.024000,99.100091,203.587138,-302.529571
0.024100,89.823132,210.699942,-300.363457
0.024200,80.443389,217.624576,-297.907788
0.024300,70.970743,224.354616,-295.165863
0.024400,61.415410,230.883353,-292.141036
0.024500,51.788030,237.203709,-288.836701
0.024600,42.099627,243.308343,-285.256402
0.024700,32.361637,249.189708,-281.403787
0.024800,22.585823,254.840062,-277.282716
0.024900,12.784190,260.251621,-272.897221
0.025000,2.968902,265.416681,-268.251563
0.025100,-6.847778,270.327613,-263.350229
0.025200,-16.653543,274.977075,-258.197967
0.025300,-26.436156,279.357945,-252.799799
0.025400,-36.183348,283.463452,-247.161027
0.025500,-45.882983,287.287165,-241.287202
0.025600,-55.523145,290.823026,-235.184153
0.025700,-65.092112,294.065396,-228.857816
0.025800,-74.578619,297.009117,-222.314264
0.025900,-83.971947,299.649528,-215.559540
0.026000,-93.262006,301.982544,-208.599618
0.026100,-102.439509,304.004690,-201.440328
0.026200,-111.495971,305.713134,-194.087332
0.026300,-120.423705,307.105645,-186.546129
0.026400,-129.215832,308.180664,-178.822081
0.026500,-137.866200,308.937174,-170.920450
0.026600,-146.369203,309.374727,-162.846489
0.026700,-154.719828,309.493412,-154.605441
0.026800,-162.913478,309.293812,-146.202682
