All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.014400,-66.516620,-229.367820,295.627039
0.014500,-56.915958,-235.912690,292.585148
0.014600,-47.247596,-242.229147,289.248485
0.014700,-37.521835,-248.308969,285.619131
0.014800,-27.750167,-254.144042,281.699693
0.014900,-17.945026,-259.726287,277.494339
0.015000,-8.119617,-265.048050,273.008177
0.015100,1.712481,-270.102036,268.246988
0.015200,11.537773,-274.880959,263.216975
0.015300,21.343188,-279.378559,257.924208
0.015400,31.116727,-283.588737,252.374664
0.015500,40.846811,-287.506223,246.574137
0.015600,50.523025,-291.126422,240.528225
0.015700,60.135343,-294.445106,234.242872
0.015800,69.673737,-297.458809,227.723777
0.015900,79.129025,-300.164370,220.977371
0.016000,88.491798,-302.558999,214.009910
0.016100,97.752917,-304.640422,206.828076
0.016200,106.903876,-306.406625,199.438725
0.016300,115.936227,-307.856110,191.848526
0.016400,124.842455,-308.987520,184.063997
0.016500,133.615891,-309.800161,176.091150
0.016600,142.249684,-310.292986,167.936007
0.016700,150.740459,-310.467725,159.603849
0.016800,159.082094,-310.325583,151.101859
0.016900,167.268513,-309.868478,142.438479
0.017000,175.295840,-309.100235,133.621464
0.017100,183.156517,-308.022920,124.660919
0.017200,190.843733,-306.639304,115.566744
0.017300,198.352148,-304.952721,106.348013
0.017400,205.674437,-302.965245,97.014766
0.017500,212.804195,-300.680090,87.576687
0.017600,219.735721,-298.100548,78.043348
0.017700,226.461599,-295.229629,68.425394
0.017800,232.975064,-292.071113,58.733501
0.017900,239.269335,-288.629075,48.978984
0.018000,245.336511,-284.907788,39.173930
0.018100,251.169391,-280.912275,29.330998
0.018200,256.760731,-276.647958,19.462979
0.018300,262.103029,-272.120386,9.582994
0.018400,267.189864,-267.335304,-0.296347
0.018500,272.015232,-262.298773,-10.163017
0.018600,276.573550,-257.016700,-20.005432
0.018700,280.860061,-251.495428,-29.812515
0.018800,284.870205,-245.741284,-39.573446
0.018900,288.599320,-239.760637,-49.277338
0.019000,292.042913,-233.559833,-58.913541
0.019100,295.196448,-227.145086,-68.471285
0.019200,298.055356,-220.522386,-77.940358
0.019300,300.615679,-213.697553,-87.310968
0.019400,302.873990,-206.676229,-96.574217
0.019500,304.827534,-199.463983,-105.722044
0.019600,306.474535,-192.066341,-114.747136
0.019700,307.813654,-184.489116,-123.642809
0.019800,308.844101,-176.737904,-132.402742
0.019900,309.565324,-168.818561,-141.020785
0.020000,309.976761,-160.736801,-149.491073
0.020100,310.078083,-152.498111,-157.807799
0.020200,309.869088,-144.107974,-165.965642
0.020300,309.349882,-135.571771,-173.959469
0.020400,308.520962,-126.894830,-181.784644
0.020500,307.383312,-118.082818,-189.436734
0.020600,305.938391,-109.141581,-196.911551
0.020700,304.188087,-100.077505,-204.204918
0.020800,302.134845,-90.897603,-211.312425
0.020900,299.781320,-81.609711,-218.229209
0.021000,297.130486,-72.222457,-224.949751
0.021100,294.185454,-62.745450,-231.467749
0.021200,290.949515,-53.188860,-237.776404
0.021300,287.426294,-43.563433,-243.868422
0.021400,283.619761,-33.880512,-249.736583
0.021500,279.534459,-24.151691,-255.373640
0.021600,275.175419,-14.388895,-260.772566
0.021700,270.547987,-4.604454,-265.926424
0.021800,265.657744,5.189334,-270.828291
0.021900,260.510220,14.979970,-275.471220
0.022000,255.110956,24.755099,-279.848276
0.022100,249.465117,34.502808,-283.952529
0.022200,243.578668,44.210954,-287.777704
0.022300,237.456973,53.868225,-291.317641
0.022400,231.105701,63.463689,-294.566880
0.022500,224.531550,72.986380,-297.520970
0.022600,217.740769,82.426400,-300.176065
0.022700,210.740148,91.774151,-302.529086
0.022800,203.536982,101.020279,-304.577844
0.022900,196.138044,110.156334,-306.320493
0.023000,188.550288,119.174257,-307.755625
0.023100,180.780509,128.066313,-308.882229
0.023200,172.835024,136.825604,-309.699465
0.023300,164.720202,145.445461,-310.206841
0.023400,156.442416,153.919534,-310.404336
0.023500,148.008024,162.241968,-310.292190
0.023600,139.423751,170.406815,-309.871148
0.023700,130.696633,178.408093,-309.142210
0.023800,121.833922,186.239761,-308.106521
0.023900,112.843191,193.895337,-306.765281
0.024000,103.732324,201.368130,-305.119619
0.024100,94.509305,208.651203,-303.170619
0.024200,85.182447,215.737379,-300.919488
0.024300,75.760451,222.619403,-298.367668
0.024400,66.252458,229.290057,-295.517084
0.024500,56.668188,235.742068,-292.370240
0.024600,47.017927,241.968236,-288.930330
0.024700,37.312533,247.961474,-285.201161
0.024800,27.563295,253.714737,-281.187144
0.024900,17.781817,259.221133,-276.893149
0.025000,7.979899,264.473965,-272.324440
0.025100,-1.830547,269.466644,-267.486583
0.025200,-11.637549,274.192866,-262.385409
0.025300,-21.429198,278.646545,-257.027013
0.025400,-31.193545,282.821944,-251.417766
0.025500,-40.918731,286.713692,-245.564321
0.025600,-50.593077,290.316832,-239.473663
0.025700,-60.205040,293.626831,-233.152923
0.025800,-69.743491,296.639612,-226.609360
0.025900,-79.197856,299.351547,-219.850111
0.026000,-88.558224,301.759488,-212.882092
0.026100,-97.815526,303.860800,-205.711904
0.026200,-106.961513,305.653403,-198.345826
0.026300,-115.988675,307.135712,-190.789892
0.026400,-124.890144,308.306712,-183.050001
0.026500,-133.659547,309.165809,-175.132012
0.026600,-142.290794,309.712818,-167.041862
0.026700,-150.778019,309.947889,-158.785573
0.026800,-159.115501,309.871467,-150.369313
0.026900,-167.297593,309.484229,-141.799361
0.027000,-175.318783,308.787126,-133.082188
0.027100,-183.173562,307.781379,-124.224448
0.027200,-190.856413,306.468543,-115.233125
0.027300,-198.361780,304.850528,-106.115636
0.027400,-205.683885,302.929662,-96.879948
0.027500,-212.816689,300.708669,-87.534697
0.027600,-219.753901,298.190758,-78.089217
0.027700,-226.488664,295.379361,-68.553647
0.027800,-233.013993,292.278367,-58.938726
0.027900,-239.322632,288.891953,-49.255675
0.028000,-245.406961,285.224383,-39.516269
0.028100,-251.259538,281.280257,-29.732451
0.028200,-256.872852,277.064364,-19.916307
0.028300,-262.239380,272.581578,-10.080061
0.028400,-267.351916,267.837084,-0.235947
0.028500,-272.203334,262.836238,9.603769
0.028600,-276.786678,257.584565,19.426802
0.028700,-281.095422,252.087819,29.221009
0.028800,-285.123348,246.351894,38.974454
0.028900,-288.864747,240.382779,48.675564
0.029000,-292.314619,234.186615,58.313261
0.029100,-295.468588,227.769603,67.877067
0.029200,-298.323015,221.137994,77.357116
0.029300,-300.874992,214.298105,86.744204
0.029400,-303.122178,207.256241,96.029707
0.029500,-305.062781,200.018650,105.205527
0.029600,-306.695430,192.591569,114.264055
0.029700,-308.019072,184.981113,123.198084
0.029800,-309.032987,177.193300,132.000785
0.029900,-309.736734,169.234083,140.665720
0.030000,-310.130139,161.109346,149.186700
0.030100,-310.213383,152.824953,157.557874
0.030200,-309.986954,144.386877,165.773645
0.030300,-309.451639,135.801214,173.828554
0.030400,-308.608534,127.074295,181.717180
0.030500,-307.458952,118.212781,189.434044
0.030600,-306.004385,109.223686,196.973460
0.030700,-304.246516,100.114426,204.329510
0.030800,-302.187191,90.892868,211.496034
0.030900,-299.828492,81.567280,218.466631
0.031000,-297.172774,72.146408,225.234740
0.031100,-294.222731,62.639489,231.793699
0.031200,-290.981475,53.056211,238.136750
0.031300,-287.452537,43.406773,244.257109
0.031400,-283.639892,33.701925,250.147933
0.031500,-279.547928,23.952883,255.802343
0.031600,-275.181429,14.171301,261.213426
0.031700,-270.545539,4.369209,266.374278
0.031800,-265.645733,-5.441093,271.278074
0.031900,-260.487826,-15.247144,275.918161
0.032000,-255.077938,-25.036418,280.288157
0.032100,-249.422472,-34.796497,284.382065
0.032200,-243.528076,-44.515155,288.194325
0.032300,-237.401562,-54.180493,291.719894
0.032400,-231.049805,-63.781033,294.954232
0.032500,-224.479652,-73.305795,297.893309
0.032600,-217.697836,-82.744387,300.533563
0.032700,-210.710894,-92.087045,302.871886
0.032800,-203.525137,-101.324646,304.905612
0.032900,-196.146661,-110.448744,306.632510
0.033000,-188.581368,-119.451498,308.050805
0.033100,-180.835073,-128.325647,309.159193
0.033200,-172.913496,-137.064449,309.956786
0.033300,-164.822417,-145.661480,310.443145
0.033400,-156.567688,-154.110639,310.618196
0.033500,-148.155233,-162.406069,310.482155
0.033600,-139.591182,-170.541956,310.035514
0.033700,-130.881851,-178.512554,309.278987
0.033800,-122.033797,-186.312100,308.213501
0.033900,-113.053963,-193.934709,306.840250
0.034000,-103.949728,-201.374397,305.160713
0.034100,-94.728984,-208.625018,303.176707
0.034200,-85.400244,-215.680195,300.890448
0.034300,-75.972645,-222.533361,298.304552
0.034400,-66.455977,-229.177717,295.422040
0.034500,-56.860664,-235.606225,292.246333
0.034600,-47.197662,-241.811690,288.781203
0.034700,-37.478427,-247.786772,285.030773
0.034800,-27.714848,-253.524071,280.999482
0.034900,-17.919075,-259.016250,276.692083
0.035000,-8.103463,-264.256086,272.113657
0.035100,1.719498,-269.236605,267.269605
0.035200,11.537347,-273.951156,262.165644
0.035300,21.337721,-278.393482,256.807792
0.035400,31.108457,-282.557792,251.202291
0.035500,40.837762,-286.438809,245.355559
0.035600,50.514279,-290.031781,239.274102
0.035700,60.127172,-293.332517,232.964445
0.035800,69.666200,-296.337378,226.433078
0.035900,79.121716,-299.043262,219.686432
0.036000,88.484655,-301.447583,212.730862
0.036100,97.746509,-303.548240,205.572663
0.036200,106.899260,-305.343561,198.218074
0.036300,115.935319,-306.832266,190.673296
0.036400,124.847496,-308.013419,182.944498
0.036500,133.628949,-308.886386,175.037826
0.036600,142.273083,-309.450797,166.959425
0.036700,150.773571,-309.706546,158.715451
0.036800,159.124289,-309.653767,150.312125
0.036900,167.319231,-309.292840,141.755802
0.037000,175.352463,-308.624400,133.053020
0.037100,183.218043,-307.649342,124.210612
0.037200,190.909933,-306.368826,115.235777
0.037300,198.421976,-304.784301,106.136140
0.037400,205.747847,-302.897497,96.919800
0.037500,212.881052,-300.710460,87.595344
0.037600,219.814953,-298.225556,78.171825
0.037700,226.542792,-295.445498,68.658791
0.037800,233.057731,-292.373370,59.066238
