All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.014400,-57.148930,-230.705847,287.884907
0.014500,-47.646568,-236.935505,284.614032
0.014600,-38.083493,-242.935310,281.052468
0.014700,-28.471551,-248.697189,277.204027
0.014800,-18.824051,-254.211498,273.072547
0.014900,-9.155809,-259.467060,268.661608
0.015000,0.517410,-264.452545,263.975530
0.015100,10.179350,-269.157147,259.019532
0.015200,19.814634,-273.572506,253.800492
0.015300,29.409461,-277.692857,248.326414
0.015400,38.951736,-281.514584,242.605920
0.015500,48.431011,-285.035868,236.647705
0.015600,57.838168,-288.255836,230.460165
0.015700,67.164757,-291.174388,224.051643
0.015800,76.403198,-293.792222,217.430489
0.015900,85.546913,-296.111251,210.605183
0.016000,94.590364,-298.134068,203.584054
0.016100,103.529428,-299.864166,196.374709
0.016200,112.361271,-301.305492,188.983886
0.016300,121.083840,-302.461642,181.417214
0.016400,129.695702,-303.336444,173.679961
0.016500,138.194900,-303.933027,165.777309
0.016600,146.578716,-304.254139,157.714797
0.016700,154.843150,-304.301671,149.498339
0.016800,162.982683,-304.076151,141.133910
0.016900,170.990200,-303.576464,132.627578
0.017000,178.857187,-302.799754,123.985007
0.017100,186.573513,-301.741892,115.211995
0.017200,194.127595,-300.397561,106.314781
0.017300,201.507210,-298.761533,97.300165
0.017400,208.699429,-296.828635,88.175900
0.017500,215.691320,-294.594543,78.950535
0.017600,222.470299,-292.056298,69.633681
0.017700,229.024024,-289.212056,60.235734
0.017800,235.341057,-286.061811,50.768153
0.017900,241.410579,-282.606870,41.243216
0.018000,247.222648,-278.850078,31.673696
0.018100,252.768171,-274.795474,22.072728
0.018200,258.039351,-270.448438,12.453425
0.018300,263.029824,-265.815497,2.828641
0.018400,267.735060,-260.904550,-6.789141
0.018500,272.152687,-255.725102,-16.388004
0.018600,276.281862,-250.287670,-25.956459
0.018700,280.123444,-244.603978,-35.483606
0.018800,283.679188,-238.685926,-44.959179
0.018900,286.951280,-232.545063,-54.373744
0.019000,289.942149,-226.192228,-63.718830
0.019100,292.653808,-219.636920,-72.986886
0.019200,295.087895,-212.887448,-82.171260
0.019300,297.245399,-205.950833,-91.265991
0.019400,299.126704,-198.832997,-100.265618
0.019500,300.731470,-191.538595,-109.165073
0.019600,302.058767,-184.071474,-117.959563
0.019700,303.106962,-176.434707,-126.644459
0.019800,303.873714,-168.630930,-135.214879
0.019900,304.356358,-160.662947,-143.665502
0.020000,304.551813,-152.533638,-151.990407
0.020100,304.456890,-144.246500,-160.182885
0.020200,304.068453,-135.805789,-168.235572
0.020300,303.383322,-127.216254,-176.140612
0.020400,302.398641,-118.483561,-183.889479
0.020500,301.111968,-109.614387,-191.473056
0.020600,299.521437,-100.616552,-198.881670
0.020700,297.626049,-91.499133,-206.105245
0.020800,295.425770,-82.272596,-213.133278
0.020900,292.921518,-72.948499,-219.955098
0.021000,290.115234,-63.539381,-226.559957
0.021100,287.009819,-54.058589,-232.937393
0.021200,283.608937,-44.519745,-239.077519
0.021300,279.917049,-34.936635,-244.970985
0.021400,275.939305,-25.322867,-250.609265
0.021500,271.681347,-15.691747,-255.984591
0.021600,267.149432,-6.056252,-261.090173
0.021700,262.350181,3.571298,-265.920294
0.021800,257.290509,13.179339,-270.470326
0.021900,251.977605,22.757133,-274.736731
0.022000,246.418687,32.294794,-278.716820
0.022100,240.620972,41.783334,-282.408810
0.022200,234.591643,51.214494,-285.811631
0.022300,228.337751,60.580826,-288.924907
0.022400,221.866210,69.875615,-291.748879
0.022500,215.183843,79.092634,-294.284179
0.022600,208.297372,88.226152,-296.531819
0.022700,201.213433,97.270693,-298.492887
0.022800,193.938649,106.220687,-300.168544
0.022900,186.479472,115.070580,-301.559832
0.023000,178.842407,123.814535,-302.667456
0.023100,171.034018,132.446314,-303.491740
0.023200,163.060916,140.959138,-304.032456
0.023300,154.929813,149.345670,-304.288948
0.023400,146.647474,157.597970,-304.260066
0.023500,138.220733,165.707605,-303.944306
0.023600,129.656438,173.665979,-303.339833
0.023700,120.961470,181.464196,-302.444581
0.023800,112.142842,189.093235,-301.256562
0.023900,103.207837,196.543921,-299.773855
0.024000,94.163979,203.807157,-297.994897
0.024100,85.019091,210.873949,-295.918482
0.024200,75.781429,217.735389,-293.543919
0.024300,66.459608,224.382765,-290.871138
0.024400,57.062708,230.807671,-287.900814
0.024500,47.600359,237.002145,-284.634485
0.024600,38.082563,242.958644,-281.074552
0.024700,28.519724,248.670114,-277.224375
0.024800,18.922765,254.129823,-273.088198
0.024900,9.303025,259.331507,-268.671140
0.025000,-0.327761,264.269363,-263.979127
0.025100,-9.957581,268.938040,-259.018770
0.025200,-19.574345,273.332722,-253.797314
0.025300,-29.165921,277.448955,-248.322457
0.025400,-38.720287,281.282728,-242.602241
0.025500,-48.225707,284.830497,-236.644883
0.025600,-57.670892,288.089224,-230.458638
0.025700,-67.045159,291.056395,-224.051669
0.025800,-76.338609,293.730093,-217.431955
0.025900,-85.542137,296.108971,-210.607268
0.026000,-94.647519,298.192205,-203.585105
0.026100,-103.647401,299.979604,-196.372656
0.026200,-112.535175,301.471454,-188.976719
0.026300,-121.305061,302.668455,-181.403740
0.026400,-129.951895,303.571594,-173.659908
0.026500,-138.470878,304.181986,-165.751214
0.026600,-146.857421,304.500864,-157.683556
0.026700,-155.106940,304.529491,-149.462792
0.026800,-163.214594,304.269058,-141.094856
0.026900,-171.175265,303.720569,-132.585936
0.027000,-178.983481,302.884772,-123.942262
0.027100,-186.632977,301.762132,-115.170508
0.027200,-194.116791,300.352791,-106.277804
0.027300,-201.427180,298.656645,-97.271741
0.027400,-208.555644,296.673291,-88.160410
0.027500,-215.493054,294.402205,-78.952397
0.027600,-222.229642,291.842777,-69.656816
0.027700,-228.755178,288.994472,-60.283238
0.027800,-235.059237,285.857023,-50.841872
0.027900,-241.131431,282.430544,-41.343290
0.028000,-246.961541,278.715757,-31.798383
0.028100,-252.539757,274.714118,-22.218369
0.028200,-257.856835,270.427936,-12.614716
0.028300,-262.904314,265.860448,-2.999095
0.028400,-267.674792,261.015916,6.616793
0.028500,-272.162026,255.899640,16.221351
0.028600,-276.360970,250.517939,25.803180
0.028700,-280.267827,244.878132,35.351155
0.028800,-283.879990,238.988358,44.854512
0.028900,-287.196056,232.857482,54.302960
0.029000,-290.215737,226.494916,63.686747
0.029100,-292.939677,219.910401,72.996728
0.029200,-295.369262,213.113874,82.224307
0.029300,-297.506390,206.115284,91.361444
0.029400,-299.353260,198.924357,100.400656
0.029500,-300.912189,191.550398,109.334835
0.029600,-302.185414,184.002149,118.157366
0.029700,-303.174785,176.287732,126.861995
0.029800,-303.881642,168.414599,135.442647
0.029900,-304.306696,160.389562,143.893316
0.030000,-304.449987,152.218743,152.207961
0.030100,-304.310938,143.907719,160.380400
0.030200,-303.888330,135.461740,168.404181
0.030300,-303.180385,126.885575,176.272823
0.030400,-302.184912,118.183981,183.979403
0.030500,-300.899464,109.361823,191.516637
0.030600,-299.321535,100.424301,198.876871
0.030700,-297.448799,91.377099,206.052120
0.030800,-295.279297,82.226557,213.034124
0.030900,-292.811625,72.979815,219.814353
0.031000,-290.045122,63.644882,226.384046
0.031100,-286.980031,54.230857,232.734392
0.031200,-283.617595,44.747805,238.856679
0.031300,-279.960197,35.206678,244.742324
0.031400,-276.011315,25.619230,250.382987
0.031500,-271.775516,15.997957,255.770632
0.031600,-267.258384,6.355958,260.897662
0.031700,-262.466393,-3.293312,265.757077
0.031800,-257.406812,-12.936316,270.342603
0.031900,-252.087548,-22.559661,274.648729
0.032000,-246.516950,-32.150316,278.670722
0.032100,-240.703637,-41.695817,282.404681
0.032200,-234.656324,-51.184438,285.847559
0.032300,-228.383646,-60.605389,288.997191
0.032400,-221.894027,-69.948892,291.852228
0.032500,-215.195568,-79.206233,294.412070
0.032600,-208.295990,-88.369702,296.676741
0.032700,-201.202624,-97.432580,298.646772
0.032800,-193.922341,-106.388859,300.323122
0.032900,-186.461519,-115.233264,301.707059
0.033000,-178.826189,-123.961079,302.799953
0.033100,-171.022096,-132.567858,303.603130
0.033200,-163.054835,-141.049189,304.117745
0.033300,-154.929957,-149.400443,304.344720
0.033400,-146.653057,-157.616599,304.284686
0.033500,-138.229968,-165.691983,303.937942
0.033600,-129.666773,-173.620485,303.304384
0.033700,-120.969867,-181.395236,302.383511
0.033800,-112.146159,-189.008535,301.174566
0.033900,-103.203136,-196.451943,299.676561
0.034000,-94.148832,-203.716361,297.888445
0.034100,-84.991873,-210.792177,295.809178
0.034200,-75.741485,-217.669341,293.437875
0.034300,-66.407407,-224.337543,290.773958
0.034400,-56.999879,-230.786465,287.817351
0.034500,-47.529667,-237.006039,284.568603
0.034600,-38.007791,-242.986624,281.028993
0.034700,-28.445489,-248.719108,277.200645
0.034800,-18.854168,-254.195065,273.086554
0.034900,-9.245321,-259.406867,268.690633
0.035000,0.369556,-264.347846,264.017702
0.035100,9.979122,-269.012394,259.073442
0.035200,19.572307,-273.395955,253.864344
0.035300,29.138349,-277.494946,248.397604
0.035400,38.666844,-281.306707,242.681014
0.035500,48.147804,-284.829442,236.722809
0.035600,57.571689,-288.062111,230.531518
0.035700,66.929452,-291.004303,224.115798
0.035800,76.212552,-293.656103,217.484293
0.035900,85.412894,-296.017911,210.645540
0.036000,94.522840,-298.090301,203.607870
0.036100,103.535011,-299.873913,196.379319
0.036200,112.442325,-301.369374,188.967493
0.036300,121.238036,-302.577153,181.379589
0.036400,129.915572,-303.497467,173.622417
0.036500,138.468419,-304.130227,165.702472
0.036600,146.890019,-304.475064,157.625992
0.036700,155.173695,-304.531354,149.399015
0.036800,163.312511,-304.298256,141.027494
0.036900,171.299437,-303.774738,132.517508
0.037000,179.127320,-302.959624,123.875044
0.037100,186.788609,-301.851784,115.106419
0.037200,194.275516,-300.450149,106.218365
0.037300,201.579973,-298.753890,97.218054
0.037400,208.693745,-296.762472,88.113184
0.037500,215.608440,-294.475766,78.912026
0.037600,222.315508,-291.894119,69.623457
0.037700,228.806363,-289.018470,60.256885
0.037800,235.072526,-285.850406,50.822421
0.037900,241.105754,-282.392165,41.330646
0.038000,246.898048,-278.646712,31.792523
0.038100,252.441740,-274.617697,22.219351
0.038200,257.729529,-270.309437,12.622691
0.038300,262.754608,-265.726868,3.014261
0.038400,267.510814,-260.875495,-6.594230
0.038500,271.992687,-255.761329,-16.191252
0.038600,276.195468,-250.390832,-25.765546
0.038700,280.115092,-244.770840,-35.306203
0.038800,283.748203,-238.908466,-44.802755
0.038900,287.092179,-232.811032,-54.245251
0.039000,290.145104,-226.485971,-63.624319
0.039100,292.905722,-219.940762,-72.931200
0.039200,295.373345,-213.182907,-82.157691
0.039300,297.547751,-206.219910,-91.296119
0.039400,299.429085,-199.059225,-100.339217
0.039500,301.017815,-191.708174,-109.280018
0.039600,302.314606,-184.173958,-118.111926
0.039700,303.320152,-176.463690,-126.828545
0.039800,304.035081,-168.584420,-135.423503
0.039900,304.459871,-160.543167,-143.890341
0.040000,304.594833,-152.346911,-152.222411
0.040100,304.440088,-144.002623,-160.412792
0.040200,303.995513,-135.517436,-168.454252
0.040300,303.260751,-126.898385,-176.339455
0.040400,302.235250,-118.152669,-184.060630
0.040500,300.918325,-109.287685,-191.609693
0.040600,299.309251,-100.311068,-198.978290
0.040700,297.407376,-91.230703,-206.157896
0.040800,295.212221,-82.054766,-213.139883
0.040900,292.723589,-72.791780,-219.915544
0.041000,289.941696,-63.450566,-226.476172
0.041100,286.867306,-54.040431,-232.813255
0.041200,283.501821,-44.571073,-238.918611
0.041300,279.847396,-35.052494,-244.784401
