All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.012600,-217.447501,-83.847871,301.080903
0.012700,-210.373674,-93.342412,303.486411
0.012800,-203.098330,-102.729657,305.587169
0.012900,-195.628790,-112.000088,307.380583
0.013000,-187.972626,-121.143994,308.865068
0.013100,-180.138405,-130.152297,310.039640
0.013200,-172.132954,-139.016306,310.902766
0.013300,-163.963452,-147.728810,311.453801
0.013400,-155.636813,-156.282122,311.691622
0.013500,-147.158939,-164.669149,311.615271
0.013600,-138.535820,-172.883411,311.222996
0.013700,-129.772790,-180.918315,310.513916
0.013800,-120.875456,-188.768505,309.487097
0.013900,-111.850020,-196.429348,308.143383
0.014000,-102.703647,-203.895673,306.484579
0.014100,-93.444874,-211.162446,304.512918
0.014200,-84.082309,-218.223007,302.230966
0.014300,-74.625676,-225.070285,299.640821
0.014400,-65.084467,-231.696938,296.744282
0.014500,-55.468053,-238.095889,293.543811
0.014600,-45.786573,-244.260204,290.041661
0.014700,-36.050386,-250.183356,286.241626
0.014800,-26.270861,-255.858972,282.147902
0.014900,-16.460187,-261.280717,277.766256
0.015000,-6.631234,-266.442576,273.103214
0.015100,3.202781,-271.338853,268.165982
0.015200,13.028731,-275.963650,262.962129
0.015300,22.833782,-280.312024,257.499114
0.015400,32.606111,-284.378931,251.784239
0.015500,42.334142,-288.159994,245.824618
0.015600,52.007326,-291.651261,239.627042
0.015700,61.615384,-294.848970,233.198604
0.015800,71.147972,-297.749959,226.545986
0.015900,80.595626,-300.351385,219.676600
0.016000,89.948792,-302.650748,212.597501
0.016100,99.198374,-304.646152,205.316088
0.016200,108.336145,-306.335922,197.839698
0.016300,117.354142,-307.718958,190.175311
0.016400,126.245506,-308.794269,182.329584
0.016500,135.004300,-309.561620,174.308602
0.016600,143.624448,-310.020347,166.118338
0.016700,152.103283,-310.172515,157.763957
0.016800,160.435306,-310.019447,149.252296
0.016900,168.614947,-309.562877,140.591263
0.017000,176.638583,-308.806061,131.787850
0.017100,184.498775,-307.750221,122.851243
0.017200,192.188564,-306.397007,113.790365
0.017300,199.702206,-304.748572,104.613435
0.017400,207.032000,-302.805885,95.329664
0.017500,214.171041,-300.571168,85.948043
0.017600,221.113193,-298.046864,76.477499
0.017700,227.850688,-295.235287,66.928021
0.017800,234.376374,-292.139517,57.309612
0.017900,240.683198,-288.763024,47.632870
0.018000,246.762983,-285.109421,37.909103
0.018100,252.608182,-281.182943,28.150141
0.018200,258.211243,-276.988175,18.367814
0.018300,263.564250,-272.529644,8.574250
0.018400,268.660264,-267.811955,-1.218961
0.018500,273.492688,-262.840002,-11.000809
0.018600,278.055258,-257.618469,-20.760651
0.018700,282.342519,-252.152576,-30.488289
0.018800,286.349323,-246.447660,-40.173734
0.018900,290.070516,-240.509201,-49.806874
0.019000,293.501289,-234.342807,-59.377854
0.019100,296.636989,-227.954055,-68.876701
0.019200,299.473064,-221.348400,-78.293981
0.019300,302.005693,-214.531252,-87.620616
0.019400,304.231677,-207.507971,-96.848306
0.019500,306.148481,-200.283949,-105.969446
0.019600,307.754552,-192.864629,-114.977030
0.019700,309.048705,-185.255768,-123.864565
0.019800,310.030233,-177.462881,-132.625812
0.019900,310.698583,-169.491701,-141.254645
0.020000,311.053131,-161.347790,-149.745129
0.020100,311.093449,-153.036483,-158.091278
0.020200,310.819267,-144.563220,-166.287491
0.020300,310.230697,-135.933482,-174.328212
0.020400,309.328368,-127.152912,-182.208261
0.020500,308.113544,-118.227737,-189.922548
0.020600,306.588135,-109.164605,-197.466113
0.020700,304.754613,-99.970926,-204.833923
0.020800,302.616141,-90.654923,-212.020631
0.020900,300.176166,-81.225751,-219.020405
0.021000,297.438501,-71.693404,-225.826753
0.021100,294.407089,-62.068817,-232.432430
0.021200,291.085996,-52.363405,-238.829725
0.021300,287.479529,-42.589098,-245.010434
0.021400,283.592210,-32.758356,-250.966419
0.021500,279.429014,-22.883857,-256.689443
0.021600,274.995310,-12.978662,-262.171421
0.021700,270.296721,-3.056298,-267.404305
0.021800,265.339087,6.869695,-272.380034
0.021900,260.128190,16.785530,-277.090549
0.022000,254.669829,26.677581,-281.527857
0.022100,248.969409,36.532719,-285.684043
0.022200,243.033105,46.337652,-289.551932
0.022300,236.866424,56.080047,-293.124553
0.022400,230.475082,65.748094,-296.395740
0.022500,223.865692,75.330137,-299.360435
0.022600,217.044296,84.815794,-302.014325
0.022700,210.017325,94.195220,-304.354005
0.022800,202.791568,103.459073,-306.377111
0.022900,195.373223,112.599128,-308.081815
0.023000,187.768602,121.607790,-309.466916
0.023100,179.983860,130.477951,-310.531805
0.023200,172.024726,139.203510,-311.276253
0.023300,163.897028,147.778698,-311.700539
0.023400,155.606701,156.198110,-311.805576
0.023500,147.159747,164.456887,-311.592644
0.023600,138.562589,172.550089,-311.063588
0.023700,129.822042,180.472726,-310.220558
0.023800,120.945159,188.219787,-309.065877
0.023900,111.939325,195.785848,-307.601936
0.024000,102.812231,203.165338,-305.831080
0.024100,93.571634,210.352529,-303.755614
0.024200,84.225589,217.341511,-301.377948
0.024300,74.782526,224.126310,-298.700684
0.024400,65.251300,230.700969,-295.726827
0.024500,55.641378,237.059360,-292.459844
0.024600,45.962890,243.195274,-288.903781
0.024700,36.226638,249.102436,-285.063167
0.024800,26.443974,254.774407,-280.943027
0.024900,16.626719,260.204705,-276.548746
0.025000,6.787028,265.386889,-271.886017
0.025100,-3.062727,270.314481,-266.960771
0.025200,-12.910011,274.981200,-261.779145
0.025300,-22.742315,279.380935,-256.347489
0.025400,-32.547084,283.507890,-250.672381
0.025500,-42.311874,287.356639,-244.760625
0.025600,-52.024487,290.922175,-238.619291
0.025700,-61.672929,294.199915,-232.255523
0.025800,-71.245690,297.185735,-225.676518
0.025900,-80.731875,299.875940,-218.889286
0.026000,-90.121292,302.267289,-211.900551
0.026100,-99.404624,304.357023,-204.716670
0.026200,-108.573394,306.142889,-197.343623
0.026300,-117.619905,307.623069,-189.787070
0.026400,-126.537129,308.796246,-182.052456
0.026500,-135.318598,309.661446,-174.145078
0.026600,-143.958208,310.218030,-166.070206
0.026700,-152.450147,310.465627,-157.833098
0.026800,-160.788840,310.404133,-149.439075
0.026900,-168.968887,310.033663,-140.893512
